Time,Symbol,Side,Entry,Exit,Qty,PnL,Reason
2026-03-11 09:46:06.356658,FORTIS,SELL,877.05,883.7,10,-86.00000000000023,SL HIT
2026-03-11 09:54:58.548483,KAYNES,BUY,3863.0,3862.0,10,-8.000000000001819,SL HIT
2026-03-11 10:02:13.152174,PFC,BUY,415.8,412.7,10,-51.00000000000023,SL HIT
2026-03-11 10:19:02.613631,LAURUSLABS,BUY,1047.0,1062.8,10,137.00000000000045,TARGET HIT
2026-03-11 10:20:41.661808,OBEROIRLTY,BUY,1511.7,1500.0,10,-132.99999999999955,SL HIT
2026-03-11 10:21:10.402653,BSE,BUY,2883.5,2861.9,10,-235.9999999999991,SL HIT
2026-03-11 10:23:29.347561,HDFCAMC,SELL,2505.8,2505.0,10,-8.399999999996908,SL HIT
2026-03-11 10:38:32.082105,SBICARD,SELL,713.05,718.65,10,-73.50000000000023,SL HIT
2026-03-11 10:43:19.544773,M&M,SELL,3260.2,3211.0,10,468.99999999999636,TARGET HIT
2026-03-11 10:43:42.849295,LODHA,SELL,905.45,891.65,10,116.00000000000023,TARGET HIT
2026-03-11 10:49:49.531319,PRESTIGE,SELL,1304.0,1313.8,10,-117.99999999999955,SL HIT
2026-03-11 10:53:01.101118,TVSMOTOR,SELL,3739.6,3683.4,10,540.9999999999991,TARGET HIT
2026-03-11 10:59:37.335671,DLF,SELL,584.75,589.15,10,-63.99999999999977,SL HIT
2026-03-11 11:03:07.607303,SYNGENE,SELL,408.7,411.8,10,-50.500000000000114,SL HIT
2026-03-11 11:09:38.681768,CGPOWER,BUY,741.15,735.6,10,-75.49999999999955,SL HIT
2026-03-11 11:10:34.704029,ICICIGI,SELL,1869.8,1884.2,10,-160.0,SL HIT
2026-03-11 11:11:00.687150,ICICIPRULI,SELL,598.45,603.0,10,-65.0,SL HIT
2026-03-11 11:16:12.694274,BAJFINANCE,SELL,931.85,917.75,10,120.0,TARGET HIT
2026-03-11 11:17:05.666146,MUTHOOTFIN,SELL,3253.5,3204.5,10,468.0000000000018,TARGET HIT
2026-03-11 11:21:06.867336,AXISBANK,SELL,1301.1,1281.6,10,175.0,TARGET HIT
2026-03-11 11:22:24.909110,LUPIN,BUY,2359.4,2359.0,10,-21.30000000000109,SL HIT
2026-03-11 11:35:22.163061,SRF,SELL,2565.6,2527.1,10,365.0,TARGET HIT
2026-03-11 11:43:37.374203,ZYDUSLIFE,BUY,935.95,928.55,10,-90.0,SL HIT
2026-03-11 11:47:20.433037,OIL,BUY,471.05,478.2,10,50.500000000000114,TARGET HIT
2026-03-11 11:56:41.476311,BAJAJFINSV,SELL,1843.7,1816.0,10,257.00000000000045,TARGET HIT
2026-03-11 12:18:32.905125,HINDPETRO,SELL,386.75,389.9,10,-48.99999999999977,SL HIT
2026-03-11 12:22:50.222302,BRITANNIA,SELL,5911.0,5956.0,10,-465.0,SL HIT
2026-03-11 12:38:59.456198,CHOLAFIN,SELL,1595.9,1572.0,10,219.0000000000009,TARGET HIT
2026-03-11 12:56:49.562345,SUNPHARMA,BUY,1842.0,1828.2,10,-157.99999999999955,SL HIT
2026-03-11 12:57:28.164203,HDFCBANK,SELL,840.6,828.0,10,106.00000000000023,TARGET HIT
2026-03-11 13:00:34.979576,ABCAPITAL,SELL,333.9,328.9,10,30.0,TARGET HIT
2026-03-11 13:02:03.189120,BPCL,SELL,324.9,327.7,10,-44.500000000000455,SL HIT
2026-03-11 13:14:05.518697,HEROMOTOCO,SELL,5662.0,5577.0,10,830.0,TARGET HIT
2026-03-11 13:14:22.701848,CDSL,SELL,1242.0,1223.4,10,165.9999999999991,TARGET HIT
2026-03-11 13:17:07.231715,TRENT,SELL,3689.9,3634.4,10,533.0000000000018,TARGET HIT
2026-03-11 13:17:51.205745,POWERGRID,BUY,302.0,299.75,10,-42.5,SL HIT
2026-03-11 13:18:08.231091,NTPC,BUY,383.5,380.55,10,-48.99999999999977,SL HIT
2026-03-11 13:42:14.701446,OFSS,SELL,6771.0,6825.0,10,-530.0,SL HIT
2026-03-11 13:43:08.059403,COFORGE,SELL,1133.3,1116.3,10,150.0,TARGET HIT
2026-03-11 13:47:21.978391,GLENMARK,BUY,2272.2,2272.6,10,-11.799999999998363,SL HIT
2026-03-11 14:26:39.734684,INDUSINDBK,SELL,894.2,880.6,10,114.00000000000091,TARGET HIT
2026-03-11 14:26:45.195748,PNBHOUSING,SELL,793.7,781.5,10,99.00000000000091,TARGET HIT
2026-03-11 14:29:56.941630,GODREJPROP,SELL,1666.7,1666.5,10,-13.999999999998636,SL HIT
2026-03-11 14:30:08.938389,ADANIPORTS,SELL,1423.2,1423.2,10,-18.899999999998727,SL HIT
2026-03-11 14:40:38.227651,AUBANK,SELL,934.3,920.25,10,120.0,TARGET HIT
2026-03-11 14:50:57.439699,BIOCON,BUY,398.6,398.55,10,-20.100000000000477,SL HIT
2026-03-11 14:52:23.235863,EXIDEIND,SELL,316.55,311.7,10,27.5,TARGET HIT
2026-03-11 14:59:10.485741,IRCTC,SELL,544.0,535.8,10,61.49999999999977,TARGET HIT
2026-03-11 14:59:57.694852,LICI,SELL,818.0,805.75,10,102.5,TARGET HIT
2026-03-11 15:05:24.704861,LICHSGFIN,SELL,513.95,506.05,10,57.000000000000455,TARGET HIT
2026-03-11 15:06:19.480757,NUVAMA,SELL,1231.0,1212.4,10,165.0,TARGET HIT
2026-03-11 15:13:31.726668,DIVISLAB,BUY,6404.5,6356.5,10,-500.0,SL HIT
2026-03-11 15:14:13.458109,SBIN,SELL,1106.9,1090.0,10,146.00000000000136,TARGET HIT
2026-03-11 15:15:08.234726,PIDILITIND,SELL,1422.2,1400.5,10,192.99999999999955,TARGET HIT
