Time,Symbol,Side,Entry,Exit,Qty,PnL,Reason
2026-04-20 10:54:00.287813,JSWENERGY,SELL,529.3,541.6,10,-123.0,SL HIT
2026-04-20 11:30:04.999713,TIINDIA,BUY,2798.9,2840.9,10,420.0,TARGET HIT
2026-04-20 11:30:05.000219,TIINDIA__PYR1,BUY,2807.2967,2840.9,10,336.03,TARGET HIT
2026-04-20 11:30:05.001224,TIINDIA__PYR2,BUY,2815.6934,2840.9,10,252.07,TARGET HIT
2026-04-20 11:52:56.446166,SYNGENE,SELL,433.4,441.3,10,-79.0,SL HIT
2026-04-20 12:00:18.375072,JSWSTEEL,BUY,1252.2,1271.0,10,188.0,TARGET HIT
2026-04-20 12:00:18.375578,JSWSTEEL__PYR1,BUY,1255.9566,1271.0,10,150.43,TARGET HIT
2026-04-20 12:00:18.381625,JSWSTEEL__PYR2,BUY,1259.7132,1271.0,10,112.87,TARGET HIT
2026-04-20 12:23:05.643583,PFC,BUY,468.0,475.0,10,70.0,TARGET HIT
2026-04-20 12:23:05.644728,PFC__PYR1,BUY,469.404,475.0,10,55.96,TARGET HIT
2026-04-20 12:23:05.645727,PFC__PYR2,BUY,470.808,475.0,10,41.92,TARGET HIT
2026-04-20 12:56:05.510012,HDFCLIFE,SELL,607.6,611.95,10,-43.5,SL HIT
2026-04-20 12:56:06.622356,BAJAJFINSV,BUY,1847.2,1839.9,10,-73.0,SL HIT
2026-04-20 12:56:06.918852,BHARATFORG,BUY,1875.0,1872.7,10,-23.0,SL HIT
2026-04-20 12:56:06.971286,BHARATFORG__PYR1,BUY,1880.625,1872.7,10,-79.25,SL HIT
2026-04-20 12:56:10.612033,CONCOR__PYR1,BUY,508.2201,506.7,10,-15.2,SL HIT
2026-04-20 12:56:11.453156,SRF,SELL,2469.3,2474.0,10,-47.0,SL HIT
2026-04-20 12:56:14.486711,COFORGE,SELL,1294.1,1303.8,10,-97.0,SL HIT
2026-04-20 12:56:23.967536,SBILIFE,BUY,1985.0,1978.7,10,-63.0,SL HIT
2026-04-20 12:56:40.173829,GRASIM__PYR1,BUY,2758.25,2756.8,10,-14.5,SL HIT
2026-04-20 12:57:09.195388,HDFCAMC,SELL,2762.6,2774.5,10,-119.0,SL HIT
2026-04-20 12:57:21.472951,SBICARD,SELL,686.4,687.8,10,-14.0,SL HIT
2026-04-20 12:59:40.176112,DIVISLAB,BUY,6295.0,6271.5,10,-235.0,SL HIT
2026-04-20 13:00:34.453897,TCS,BUY,2590.2,2588.8,10,-14.0,SL HIT
2026-04-20 13:00:34.458424,TATACONSUM__PYR1,BUY,1126.6699,1125.3,10,-13.7,SL HIT
2026-04-20 13:00:37.176141,ADANIPORTS,BUY,1594.0,1592.6,10,-14.0,SL HIT
2026-04-20 13:00:37.180673,ASIANPAINT__PYR2,BUY,2510.2718,2508.9,10,-13.72,SL HIT
2026-04-20 13:00:37.686963,SHRIRAMFIN,BUY,1046.6,1045.2,10,-14.0,SL HIT
2026-04-20 13:00:40.405975,CUMMINSIND,BUY,5180.0,5178.6,10,-14.0,SL HIT
2026-04-20 13:00:41.416594,CONCOR,BUY,506.7,505.3,10,-14.0,SL HIT
2026-04-20 13:01:00.722400,APLAPOLLO__PYR2,BUY,2136.744,2135.3,10,-14.44,SL HIT
2026-04-20 13:16:05.485748,INDIGO__PYR2,BUY,4676.391,4675.0,10,-13.91,SL HIT
2026-04-20 13:23:09.718144,INDIGO__PYR1,BUY,4662.4455,4661.0,10,-14.45,SL HIT
2026-04-20 13:27:49.898572,ASIANPAINT__PYR1,BUY,2502.7859,2501.4,10,-13.86,SL HIT
2026-04-20 13:50:54.421730,TATACONSUM,BUY,1123.3,1121.9,10,-14.0,SL HIT
2026-04-20 14:04:20.984886,GRASIM,BUY,2750.0,2748.6,10,-14.0,SL HIT
