symbol,side,entry,sl,target,qty,trail_level,status,strategy,entry_time,net_pnl,tsl_only,tsl_step,daily_pnl_snapshot
NESTLEIND,SELL,1233.1,1242.3,1214.6,10,0.0,CLOSED,YL Breakdown SELL,09:31,0.0,False,0.75,4591.000000000008
HINDUNILVR,SELL,2174.9,2174.39,2142.3,10,0.75,CLOSED,YL Breakdown SELL,09:31,0.0,False,0.75,4591.000000000008
KOTAKBANK,SELL,387.15,386.93,381.35,10,0.75,CLOSED,YL Breakdown SELL,09:31,0.0,False,0.75,4591.000000000008
OBEROIRLTY,BUY,1511.7,1500.4,1534.4,10,0.75,CLOSED,YH Breakout BUY,09:32,0.0,False,0.75,4591.000000000008
HDFCBANK,SELL,840.6,840.46,828.0,10,0.75,CLOSED,YL Breakdown SELL,09:32,0.0,False,0.75,4591.000000000008
MUTHOOTFIN,SELL,3253.5,3228.53,3204.7,10,1.5,CLOSED,YL Breakdown SELL,09:34,0.0,False,0.75,4591.000000000008
JUBLFOOD,SELL,478.05,477.81,470.9,10,0.75,CLOSED,YL Breakdown SELL,09:35,0.0,False,0.75,4591.000000000008
HDFCLIFE,SELL,652.75,652.71,642.95,10,0.75,CLOSED,YL Breakdown SELL,09:35,0.0,False,0.75,4591.000000000008
BAJFINANCE,SELL,931.85,924.63,917.85,10,1.5,CLOSED,YL Breakdown SELL,09:37,0.0,False,0.75,4591.000000000008
FORTIS,SELL,877.05,883.65,863.9,10,0.75,CLOSED,YL Breakdown SELL,09:38,0.0,False,0.75,4591.000000000008
BRITANNIA,SELL,5911.0,5955.5,5822.5,10,0.75,CLOSED,YL Breakdown SELL,09:42,0.0,False,0.75,4591.000000000008
TCS,SELL,2490.1,2489.94,2452.7,10,0.75,CLOSED,YL Breakdown SELL,09:43,0.0,False,0.75,4591.000000000008
BSE,BUY,2883.5,2861.9,2926.8,10,0.0,CLOSED,YH Breakout BUY,09:43,0.0,False,0.75,4591.000000000008
KAYNES,BUY,3863.0,3864.2,3920.9,10,0.75,CLOSED,YH Breakout BUY,09:44,0.0,False,0.75,4591.000000000008
PFC,BUY,415.8,412.7,422.05,10,0.0,CLOSED,YH Breakout BUY,09:45,0.0,False,0.75,4591.000000000008
AXISBANK,SELL,1301.1,1300.88,1281.6,10,0.75,CLOSED,Inside Bar SELL,09:46,0.0,False,0.75,4591.000000000008
HDFCAMC,SELL,2505.8,2504.64,2468.2,10,0.75,CLOSED,OPEN==HIGH Break,09:51,0.0,False,0.75,4591.000000000008
DIVISLAB,BUY,6404.5,6356.5,6500.5,10,0.0,CLOSED,Inside Bar BUY,09:54,0.0,False,0.75,4591.000000000008
RELIANCE,SELL,1401.1,1400.93,1380.1,10,0.75,CLOSED,EMA Pullback SELL,09:54,0.0,False,0.75,4591.000000000008
PAYTM,SELL,1031.1,1038.8,1015.6,10,0.0,CLOSED,YL Breakdown SELL,09:55,0.0,False,0.75,4591.000000000008
LAURUSLABS,BUY,1047.0,1054.83,1062.7,10,1.5,CLOSED,Inside Bar BUY,09:57,0.0,False,0.75,4591.000000000008
BPCL,SELL,324.9,327.35,320.05,10,0.75,CLOSED,Inside Bar SELL,09:59,0.0,False,0.75,4591.000000000008
COFORGE,SELL,1133.3,1124.67,1116.3,10,1.5,CLOSED,YL Breakdown SELL,09:59,0.0,False,0.75,4591.000000000008
LUPIN,BUY,2359.4,2359.27,2394.8,10,0.75,CLOSED,YH Breakout BUY,10:05,0.0,False,0.75,4591.000000000008
BIOCON,BUY,398.6,398.59,404.6,10,0.75,CLOSED,YH Breakout BUY,10:07,0.0,False,0.75,4591.000000000008
DRREDDY,BUY,1326.8,1316.8,1346.7,10,0.0,CLOSED,Inside Bar BUY,10:07,0.0,False,0.75,4591.000000000008
M&M,SELL,3260.2,3235.08,3211.3,10,1.5,CLOSED,Inside Bar SELL,10:09,0.0,False,0.75,4591.000000000008
ICICIBANK,SELL,1297.0,1306.7,1277.5,10,0.0,CLOSED,Inside Bar SELL,10:09,0.0,False,0.75,4591.000000000008
INFY,SELL,1284.1,1293.7,1264.8,10,0.0,CLOSED,YL Breakdown SELL,10:10,0.0,False,0.75,4591.000000000008
SBIN,SELL,1106.9,1098.17,1090.3,10,1.5,CLOSED,Inside Bar SELL,10:11,0.0,False,0.75,4591.000000000008
AUROPHARMA,BUY,1309.1,1299.3,1328.7,10,0.0,CLOSED,OPEN==LOW Break,10:14,0.0,False,0.75,4591.000000000008
CDSL,SELL,1242.0,1240.94,1223.4,10,0.75,CLOSED,ORB Break SELL,10:15,0.0,False,0.75,4591.000000000008
TVSMOTOR,SELL,3739.6,3711.03,3683.5,10,1.5,CLOSED,ORB Break SELL,10:15,0.0,False,0.75,4591.000000000008
CHOLAFIN,SELL,1595.9,1595.78,1572.0,10,0.75,CLOSED,ORB Break SELL,10:15,0.0,False,0.75,4591.000000000008
ITC,SELL,308.8,311.1,304.15,10,0.0,CLOSED,ORB Break SELL,10:15,0.0,False,0.75,4591.000000000008
HEROMOTOCO,SELL,5662.0,5618.83,5577.0,10,1.5,CLOSED,ORB Break SELL,10:15,0.0,False,0.75,4591.000000000008
SBICARD,SELL,713.05,718.4,702.35,10,0.75,CLOSED,ORB Break SELL,10:16,0.0,False,0.75,4591.000000000008
LICI,SELL,818.0,817.84,805.75,10,0.75,CLOSED,ORB Break SELL,10:17,0.0,False,0.75,4591.000000000008
CGPOWER,BUY,741.15,735.6,752.25,10,0.0,CLOSED,ORB Break,10:17,0.0,False,0.75,4591.000000000008
ICICIGI,SELL,1869.8,1883.8,1841.8,10,0.75,CLOSED,ORB Break SELL,10:18,0.0,False,0.75,4591.000000000008
HAL,SELL,4030.8,4030.4,3970.3,10,0.75,CLOSED,ORB Break SELL,10:21,0.0,False,0.75,4591.000000000008
BHARTIARTL,SELL,1825.7,1825.59,1798.3,10,0.75,CLOSED,ORB Break SELL,10:25,0.0,False,0.75,4591.000000000008
ICICIPRULI,SELL,598.45,602.95,589.45,10,0.75,CLOSED,ORB Break SELL,10:26,0.0,False,0.75,4591.000000000008
TRENT,SELL,3689.9,3661.66,3634.6,10,1.5,CLOSED,YL Breakdown SELL,10:27,0.0,False,0.75,4591.000000000008
SRF,SELL,2565.6,2546.05,2527.1,10,1.5,CLOSED,ORB Break SELL,10:27,0.0,False,0.75,4591.000000000008
NAUKRI,SELL,966.0,965.89,951.5,10,0.75,CLOSED,ORB Break SELL,10:27,0.0,False,0.75,4591.000000000008
BAJAJFINSV,SELL,1843.7,1829.62,1816.0,10,1.5,CLOSED,ORB Break SELL,10:31,0.0,False,0.75,4591.000000000008
PIIND,SELL,3038.5,3038.22,2992.9,10,0.75,CLOSED,ORB Break SELL,10:33,0.0,False,0.75,4591.000000000008
EXIDEIND,SELL,316.55,314.04,311.8,10,1.5,CLOSED,ORB Break SELL,10:35,0.0,False,0.75,4591.000000000008
LODHA,SELL,905.45,898.34,891.85,10,1.5,CLOSED,ORB Break SELL,10:35,0.0,False,0.75,4591.000000000008
SYNGENE,SELL,408.7,411.75,402.55,10,0.75,CLOSED,ORB Break SELL,10:35,0.0,False,0.75,4591.000000000008
OFSS,SELL,6771.0,6822.0,6669.5,10,0.75,CLOSED,EMA Pullback SELL,10:38,0.0,False,0.75,4591.000000000008
TATATECH,SELL,562.6,562.34,554.15,10,0.75,CLOSED,ORB Break SELL,10:39,0.0,False,0.75,4591.000000000008
INDUSINDBK,SELL,894.2,887.2,880.8,10,1.5,CLOSED,ORB Break SELL,10:39,0.0,False,0.75,4591.000000000008
IRCTC,SELL,544.0,539.82,535.85,10,1.5,CLOSED,ORB Break SELL,10:40,0.0,False,0.75,4591.000000000008
PRESTIGE,SELL,1304.0,1313.8,1284.4,10,0.75,CLOSED,ORB Break SELL,10:43,0.0,False,0.75,4591.000000000008
DLF,SELL,584.75,589.15,576.0,10,0.75,CLOSED,ORB Break SELL,10:43,0.0,False,0.75,4591.000000000008
GODREJPROP,SELL,1666.7,1666.1,1641.7,10,0.75,CLOSED,ORB Break SELL,10:43,0.0,False,0.75,4591.000000000008
INDHOTEL,SELL,624.55,629.25,615.2,10,0.0,CLOSED,ORB Break SELL,10:50,0.0,False,0.75,4591.000000000008
UNITDSPR,SELL,1397.9,1397.81,1376.9,10,0.75,CLOSED,ORB Break SELL,10:55,0.0,False,0.75,4591.000000000008
ZYDUSLIFE,BUY,935.95,928.95,950.0,10,0.75,CLOSED,ORB Break,10:58,0.0,False,0.75,4591.000000000008
OIL,BUY,471.05,474.61,478.1,10,1.5,CLOSED,ORB Break,11:09,0.0,False,0.75,4591.000000000008
SUNPHARMA,BUY,1842.0,1828.2,1869.6,10,0.0,CLOSED,ORB Break,11:10,0.0,False,0.75,4591.000000000008
ABCAPITAL,SELL,333.9,333.78,328.9,10,0.75,CLOSED,15m InsideBreak SELL,11:13,0.0,False,0.75,4591.000000000008
UPL,SELL,629.35,629.28,619.9,10,0.75,CLOSED,ORB Break SELL,11:16,0.0,False,0.75,4591.000000000008
AUBANK,SELL,934.3,927.15,920.3,10,1.5,CLOSED,ORB Break SELL,11:17,0.0,False,0.75,4591.000000000008
TATACONSUM,SELL,1080.2,1079.54,1064.0,10,0.75,CLOSED,ORB Break SELL,11:26,0.0,False,0.75,4591.000000000008
GLENMARK,BUY,2272.2,2273.02,2306.3,10,0.75,CLOSED,ORB Break,11:27,0.0,False,0.75,4591.000000000008
NUVAMA,SELL,1231.0,1221.49,1212.5,10,1.5,CLOSED,ORB Break SELL,11:36,0.0,False,0.75,4591.000000000008
PHOENIXLTD,SELL,1589.4,1589.13,1565.6,10,0.75,CLOSED,ORB Break SELL,11:46,0.0,False,0.75,4591.000000000008
PIDILITIND,SELL,1422.2,1411.0,1400.9,10,1.5,CLOSED,ORB Break SELL,11:49,0.0,False,0.75,4591.000000000008
LT,SELL,3859.0,3887.9,3801.1,10,0.0,CLOSED,ORB Break SELL,11:56,0.0,False,0.75,4591.000000000008
HINDPETRO,SELL,386.75,389.65,380.95,10,0.75,CLOSED,ORB Break SELL,12:01,0.0,False,0.75,4591.000000000008
