symbol,side,entry,sl,target,qty,trail_level,status,strategy,entry_time,net_pnl,tsl_only,tsl_step,daily_pnl_snapshot
CHOLAFIN,SELL,1513.1,1524.4,1490.4,1,0.0,CLOSED,ORB Break SELL,10:18,-31.3,False,0.75,-1187.4500000000012
ABB,BUY,6385.0,6337.0,6481.0,10,0.75,CLOSED,ORB Break,10:35,-500.0,False,0.75,-1187.4500000000012
ICICIGI,SELL,1809.0,1822.6,1781.9,10,0.75,CLOSED,ORB Break SELL,10:35,-156.0,False,0.75,-1187.4500000000012
JINDALSTEL,SELL,1146.4,1158.3,,10,0.0,CLOSED,Open=High Breakdown SELL,10:36,0.0,True,1.5,-1187.4500000000012
ITC,SELL,303.95,306.25,299.4,10,0.75,CLOSED,ORB Break SELL,10:43,0.0,False,0.75,-1187.4500000000012
OIL,SELL,471.0,470.91,463.95,10,0.75,CLOSED,ORB Break SELL,10:44,-19.1,False,0.75,-1187.4500000000012
DRREDDY,BUY,1297.3,1287.6,1316.8,10,0.0,CLOSED,ORB Break,11:00,-28.0,False,0.75,-1187.4500000000012
NESTLEIND,SELL,1203.9,1212.9,1185.8,10,0.0,CLOSED,ORB Break SELL,11:03,-45.0,False,0.75,-1187.4500000000012
SUNPHARMA,BUY,1805.0,1791.5,1832.1,10,0.75,CLOSED,ORB Break,11:09,-155.0,False,0.75,-1187.4500000000012
HINDUNILVR,SELL,2152.0,2151.52,2119.7,10,0.75,CLOSED,ORB Break SELL,11:11,137.0,False,0.75,-1187.4500000000012
CIPLA,SELL,1276.7,1286.3,1257.5,10,0.0,CLOSED,ORB Break SELL,11:18,48.0,False,0.75,-1187.4500000000012
BDL,BUY,1316.9,1307.0,1336.7,10,0.75,CLOSED,ORB Break,11:28,-119.0,False,0.75,-1187.4500000000012
ICICIPRULI,SELL,589.2,593.6,580.35,1,0.0,CLOSED,ORB Break SELL,11:38,-19.6,False,0.75,-1187.4500000000012
CUMMINSIND,BUY,4663.0,4697.9,4732.9,1,1.5,CLOSED,ORB Break,11:43,49.9,False,0.75,-1187.4500000000012
LUPIN,BUY,2320.9,2303.5,2355.7,1,0.75,CLOSED,ORB Break,11:52,-37.4,False,0.75,-1187.4500000000012
BSE,BUY,3001.4,2978.9,3046.4,1,0.75,CLOSED,ORB Break,12:00,-42.5,False,0.75,-1187.4500000000012
MCX,BUY,2699.7,2679.5,2740.2,1,0.75,CLOSED,ORB Break,12:11,-40.2,False,0.75,-1187.4500000000012
DABUR,SELL,451.15,454.55,444.4,1,0.75,CLOSED,ORB Break SELL,12:29,-23.4,False,0.75,-1187.4500000000012
JSWENERGY,BUY,512.95,509.1,520.65,1,0.75,CLOSED,ORB Break,13:39,-23.85,False,0.75,-1187.4500000000012
