Time,Symbol,Side,Entry,Exit,Qty,PnL,Reason
2026-03-10 12:34:40.771257,INFY,SELL,1291.7,1291.7,10,-117.00000000000045,SL HIT
2026-03-10 12:34:40.771257,TCS,SELL,2500.0,2500.0,10,-208.00000000000182,SL HIT
2026-03-10 12:34:41.281552,MARICO,BUY,787.0,787.0,10,-78.99999999999977,SL HIT
2026-03-10 12:34:44.297113,TORNTPHARM,BUY,4437.8,4437.8,10,-353.0000000000018,SL HIT
2026-03-10 12:34:47.210081,SUPREMEIND,BUY,3935.0,3935.0,10,-315.0,SL HIT
2026-03-10 13:17:57.757699,TATACONSUM,SELL,1098.8,1107.0,10,-102.00000000000045,SL HIT
2026-03-10 13:20:48.473246,TECHM,SELL,1317.0,1327.0,10,-119.00000000000091,SL HIT
2026-03-10 13:59:11.569701,TIINDIA,BUY,2639.7,2619.9,10,-217.99999999999727,SL HIT
