Time,Symbol,Side,Entry,Exit,Qty,PnL,Reason
2026-04-16 10:24:53.964038,POLICYBZR__PYR1,BUY,1503.5973,1503.5,10,-0.97,SL HIT
2026-04-16 10:27:19.893640,POLICYBZR,BUY,1499.1,1521.6,10,225.0,TARGET HIT
2026-04-16 10:27:19.894646,POLICYBZR__PYR2,BUY,1508.0946,1521.6,10,135.05,TARGET HIT
2026-04-16 10:36:16.175846,KAYNES,BUY,4126.6,4188.5,10,619.0,TARGET HIT
2026-04-16 10:36:16.177325,KAYNES__PYR1,BUY,4138.9798,4188.5,10,495.2,TARGET HIT
2026-04-16 10:36:16.178758,KAYNES__PYR2,BUY,4151.3596,4188.5,10,371.4,TARGET HIT
2026-04-16 10:43:56.450942,UNITDSPR,SELL,1243.5,1252.8,10,-93.0,SL HIT
2026-04-16 10:48:08.395506,INDUSTOWER__PYR2,SELL,416.3445,419.45,10,-31.06,SL HIT
2026-04-16 11:01:00.145307,MUTHOOTFIN,BUY,3660.0,3649.3,10,-107.0,SL HIT
2026-04-16 11:01:00.452659,CGPOWER,BUY,760.3,757.1,10,-32.0,SL HIT
2026-04-16 11:01:01.464661,BAJFINANCE,BUY,931.9,926.45,10,-54.5,SL HIT
2026-04-16 11:01:16.469352,ADANIENT,BUY,2187.8,2185.1,10,-27.0,SL HIT
2026-04-16 11:01:18.487282,TORNTPHARM,SELL,4120.6,4123.8,10,-32.0,SL HIT
2026-04-16 11:01:26.449981,PIDILITIND,SELL,1318.0,1326.7,10,-87.0,SL HIT
2026-04-16 11:01:40.654053,ADANIENSOL__PYR2,BUY,1204.685,1199.5,10,-51.85,SL HIT
2026-04-16 11:01:46.701015,KEI__PYR1,BUY,4673.2779,4665.4,10,-78.78,SL HIT
2026-04-16 11:02:09.691612,GRASIM,BUY,2753.9,2736.8,10,-171.0,SL HIT
2026-04-16 11:04:20.645179,ADANIENSOL__PYR1,BUY,1201.0925,1198.4,10,-26.92,SL HIT
2026-04-16 11:04:47.655106,ASIANPAINT,BUY,2444.2,2441.5,10,-27.0,SL HIT
2026-04-16 11:05:56.150324,DALBHARAT,SELL,1967.2,1970.1,10,-29.0,SL HIT
2026-04-16 11:07:01.738267,JINDALSTEL,BUY,1240.2,1237.5,10,-27.0,SL HIT
2026-04-16 11:10:12.667077,BAJAJFINSV,BUY,1854.4,1851.7,10,-27.0,SL HIT
2026-04-16 11:11:31.935642,ADANIENSOL,BUY,1197.5,1194.85,10,-26.5,SL HIT
2026-04-16 11:26:04.177390,TRENT__PYR2,BUY,4060.0148,4060.2,10,1.85,SL HIT
2026-04-16 11:38:57.509021,TRENT__PYR1,BUY,4047.9074,4048.4,10,4.93,SL HIT
2026-04-16 11:46:36.505408,KEI,BUY,4659.3,4656.6,10,-27.0,SL HIT
2026-04-16 11:46:36.506409,KEI__PYR2,BUY,4687.2558,4656.6,10,-306.56,SL HIT
2026-04-16 11:47:04.416939,TRENT,BUY,4035.8,4037.0,10,12.0,SL HIT
2026-04-16 11:58:03.962007,VBL__PYR2,BUY,455.718,452.3,10,-34.18,SL HIT
2026-04-16 12:07:47.157300,LICHSGFIN__PYR1,BUY,535.953,533.3,10,-26.53,SL HIT
2026-04-16 12:37:30.357936,HDFCBANK,SELL,810.15,798.0,10,121.5,TARGET HIT
2026-04-16 12:37:30.369416,HDFCBANK__PYR1,SELL,807.7196,798.0,10,97.2,TARGET HIT
2026-04-16 12:37:30.369416,HDFCBANK__PYR2,SELL,805.2891,798.0,10,72.89,TARGET HIT
2026-04-16 12:48:56.285151,VBL__PYR1,BUY,454.359,450.95,10,-34.09,SL HIT
2026-04-16 12:55:32.209989,HDFCLIFE,SELL,642.85,633.2,10,96.5,TARGET HIT
2026-04-16 12:55:32.212990,HDFCLIFE__PYR1,SELL,640.9215,633.2,10,77.21,TARGET HIT
2026-04-16 12:55:32.213989,HDFCLIFE__PYR2,SELL,638.9929,633.2,10,57.93,TARGET HIT
2026-04-16 13:09:56.501989,VBL,BUY,453.0,450.35,10,-26.5,SL HIT
2026-04-16 13:10:07.482425,LICHSGFIN,BUY,534.35,531.7,10,-26.5,SL HIT
2026-04-16 14:45:25.271623,ICICIPRULI__PYR1,SELL,561.1116,561.05,10,0.62,SL HIT
