symbol,side,entry,sl,target,qty,trail_level,status,strategy,entry_time,net_pnl,tsl_only,tsl_step,pyramid_base,pyramid_leg,live_sl_oid,live_tgt_oid,sl_floor,daily_pnl_snapshot,profit_lock_armed,gross_win_target_hit
SBICARD,SELL,686.5,688.8,,10,0.0,CLOSED,Open=High Breakdown SELL,09:47,-23.0,True,1.5,,,,,688.8,1482.64,1,0
SRF,SELL,2467.8,2481.1,,10,0.0,CLOSED,Open=High Breakdown SELL,09:47,-133.0,True,1.5,,,,,2481.1,1482.64,1,0
SYNGENE,SELL,433.3,435.75,,10,0.0,CLOSED,Open=High Breakdown SELL,09:47,-24.5,True,1.5,,,,,435.75,1482.64,1,0
JSWENERGY,SELL,529.3,532.25,,10,0.0,CLOSED,Open=High Breakdown SELL,09:48,-29.5,True,1.5,,,,,532.25,1482.64,1,0
SHRIRAMFIN,BUY,1046.5,1045.45,1062.2,10,0.75,CLOSED,ORB Break,10:31,-10.5,False,0.75,,,,,1045.45,1482.64,1,0
APLAPOLLO,BUY,2127.0,2127.0,2158.9,10,0.75,CLOSED,ORB Break,10:31,76.0,False,0.75,,,,,2127.0,1482.64,1,0
BAJAJFINSV,BUY,1849.6,1842.0,1877.3,10,0.75,CLOSED,ORB Break,10:31,-76.0,False,0.75,,,,,1842.0,1482.64,1,0
SBILIFE,BUY,1985.9,1982.6,2015.7,10,0.75,CLOSED,ORB Break,10:31,-33.0,False,0.75,,,,,1982.6,1482.64,1,0
ASIANPAINT,BUY,2496.0,2496.0,2533.4,10,0.75,CLOSED,ORB Break,10:31,129.0,False,0.75,,,,,2496.0,1482.64,1,0
TIINDIA,BUY,2801.7,2822.7,2843.7,10,1.5,CLOSED,ORB Break,10:31,420.0,False,0.75,,,,,,1482.64,1,0
INDIGO,BUY,4659.7,4659.7,4729.6,10,0.75,CLOSED,ORB Break,10:31,184.0,False,0.75,,,,,4659.7,1482.64,1,0
JSWSTEEL,BUY,1253.7,1253.8,1272.5,10,0.75,CLOSED,ORB Break,10:31,188.0,False,0.75,,,,,,1482.64,1,0
CONCOR,BUY,508.0,507.15,515.6,10,0.75,CLOSED,ORB Break,10:31,-8.5,False,0.75,,,,,507.15,1482.64,1,0
NAUKRI,BUY,1064.0,1063.95,1079.95,10,0.75,CLOSED,ORB Break,10:32,-0.5,False,0.75,,,,,,1482.64,1,0
CUMMINSIND,BUY,5177.9,5177.9,5255.6,10,0.75,CLOSED,ORB Break,10:32,0.0,False,0.75,,,,,5177.9,1482.64,1,0
JINDALSTEL,BUY,1281.4,1281.6,1300.6,10,0.75,CLOSED,ORB Break,10:34,86.0,False,0.75,,,,,,1482.64,1,0
CHOLAFIN,BUY,1586.9,1577.7,1610.7,10,0.75,CLOSED,ORB Break,10:34,-92.0,False,0.75,,,,,1577.7,1482.64,1,0
NAUKRI__PYR1,BUY,1067.192,1059.2,1079.95,10,0.0,CLOSED,ORB Break [PYR1],10:37,-32.42,False,0.75,NAUKRI,1,,,,1482.64,1,0
BAJFINANCE,BUY,913.0,913.0,926.7,10,0.75,CLOSED,ORB Break,10:38,28.0,False,0.75,,,,,913.0,1482.64,1,0
NAUKRI__PYR2,BUY,1070.384,1062.35,1079.95,10,0.0,CLOSED,ORB Break [PYR2],10:41,-64.34,False,0.75,NAUKRI,2,,,,1482.64,1,0
TRENT,BUY,4227.6,4227.9,4291.0,10,0.75,CLOSED,ORB Break,10:41,317.0,False,0.75,,,,,,1482.64,1,0
JINDALSTEL__PYR1,BUY,1285.2442,1285.2,1300.6,10,0.75,CLOSED,ORB Break [PYR1],10:42,47.56,False,0.75,JINDALSTEL,1,,,,1482.64,1,0
DALBHARAT,BUY,1992.8,1992.8,2022.7,10,0.75,CLOSED,ORB Break,10:48,0.0,False,0.75,,,,,1992.8,1482.64,1,0
