symbol,side,entry,sl,target,qty,trail_level,status,strategy,entry_time,net_pnl,tsl_only,tsl_step,pyramid_base,pyramid_leg,live_sl_oid,live_tgt_oid,sl_floor,daily_pnl_snapshot,profit_lock_armed,gross_win_target_hit
TORNTPHARM,SELL,4051.7,4106.9,,10,0.0,CLOSED,Open=High Breakdown SELL,09:25,217.0,True,1.5,,,,,,-1487.298999999995,0,0
MARICO,SELL,762.2,756.4,,10,1.5,CLOSED,Open=High Breakdown SELL,09:25,58.0,True,1.5,,,,,,-1487.298999999995,0,0
TATAELXSI,SELL,4400.0,4496.4,,10,0.0,CLOSED,Open=High Breakdown SELL,09:25,-287.0,True,1.5,,,,,,-1487.298999999995,0,0
MARICO__PYR1,SELL,758.389,764.1,,10,0.0,CLOSED,Open=High Breakdown SELL [PYR1],09:28,19.89,True,1.5,MARICO,1,,,,-1487.298999999995,0,0
MARICO__PYR2,SELL,754.578,760.25,,10,0.0,CLOSED,Open=High Breakdown SELL [PYR2],09:31,-18.22,True,1.5,MARICO,2,,,,-1487.298999999995,0,0
TORNTPHARM__PYR1,SELL,4031.4415,4061.7,,10,0.0,CLOSED,Open=High Breakdown SELL [PYR1],09:38,14.41,True,1.5,TORNTPHARM,1,,,,-1487.298999999995,0,0
TORNTPHARM__PYR2,SELL,4011.183,4041.3,,10,0.0,CLOSED,Open=High Breakdown SELL [PYR2],09:42,-301.17,True,1.5,TORNTPHARM,2,,,,-1487.298999999995,0,0
MARICO__PYR3,SELL,750.767,756.4,,10,0.0,CLOSED,Open=High Breakdown SELL [PYR3],10:03,-56.33,True,1.5,MARICO,3,,,,-1487.298999999995,0,0
FORTIS,SELL,844.05,843.3,831.4,10,0.75,CLOSED,ORB Break SELL,10:15,37.0,False,0.75,,,,,,-1487.298999999995,0,0
HAVELLS,SELL,1254.2,1253.9,1235.4,10,0.75,CLOSED,ORB Break SELL,10:15,62.0,False,0.75,,,,,,-1487.298999999995,0,0
PIIND,SELL,2897.3,2919.0,2853.8,10,0.0,CLOSED,ORB Break SELL,10:15,-217.0,False,0.75,,,,,,-1487.298999999995,0,0
CIPLA,SELL,1205.6,1214.6,1187.5,10,0.0,CLOSED,ORB Break SELL,10:16,-90.0,False,0.75,,,,,,-1487.298999999995,0,0
SIEMENS,SELL,3150.0,3173.6,3102.8,10,0.0,CLOSED,ORB Break SELL,10:17,-236.0,False,0.75,,,,,,-1487.298999999995,0,0
NAUKRI,SELL,1021.6,1029.25,1006.3,10,0.0,CLOSED,ORB Break SELL,10:19,-76.5,False,0.75,,,,,,-1487.298999999995,0,0
FORTIS__PYR1,SELL,841.5178,847.85,831.4,10,0.0,CLOSED,ORB Break SELL [PYR1],10:21,11.68,False,0.75,FORTIS,1,,,,-1487.298999999995,0,0
ZYDUSLIFE,SELL,879.7,886.3,866.5,10,0.0,CLOSED,ORB Break SELL,10:35,-66.0,False,0.75,,,,,,-1487.298999999995,0,0
PREMIERENE,BUY,963.0,962.95,977.45,10,0.75,CLOSED,ORB Break,11:03,-0.5,False,0.75,,,,,,-1487.298999999995,0,0
PREMIERENE__PYR1,BUY,965.889,966.45,977.45,10,0.75,CLOSED,ORB Break [PYR1],11:05,5.61,False,0.75,PREMIERENE,1,,,,-1487.298999999995,0,0
PREMIERENE__PYR2,BUY,968.778,961.5,977.45,10,0.0,CLOSED,ORB Break [PYR2],11:08,-58.28,False,0.75,PREMIERENE,2,,,,-1487.298999999995,0,0
NESTLEIND,SELL,1221.2,1221.0,1202.9,10,0.75,CLOSED,ORB Break SELL,11:13,79.0,False,0.75,,,,,,-1487.298999999995,0,0
TATACONSUM,SELL,1067.3,1075.3,1051.3,10,0.0,CLOSED,ORB Break SELL,11:13,-23.0,False,0.75,,,,,,-1487.298999999995,0,0
DIVISLAB,SELL,5897.5,5941.5,5809.0,10,0.0,CLOSED,ORB Break SELL,11:37,-440.0,False,0.75,,,,,,-1487.298999999995,0,0
NESTLEIND__PYR1,SELL,1217.5364,1226.7,1202.9,10,0.0,CLOSED,ORB Break SELL [PYR1],11:47,42.36,False,0.75,NESTLEIND,1,,,,-1487.298999999995,0,0
BRITANNIA,SELL,5599.0,5641.0,5515.0,10,0.0,CLOSED,ORB Break SELL,11:50,20.0,False,0.75,,,,,,-1487.298999999995,0,0
DIVISLAB__PYR1,SELL,5879.8075,5924.0,5809.0,10,0.0,CLOSED,ORB Break SELL [PYR1],11:51,-441.93,False,0.75,DIVISLAB,1,,,,-1487.298999999995,0,0
