Time,Symbol,Side,Entry,Exit,Qty,PnL,Reason
2026-04-15 11:13:19.603040,BHARATFORG__PYR1,BUY,1847.526,1833.7,10,-138.26,SL HIT
2026-04-15 11:29:44.858588,MARICO__PYR1,SELL,753.9314,759.6,10,-56.69,SL HIT
2026-04-15 11:57:01.167099,BHARATFORG,BUY,1842.0,1828.2,10,-138.0,SL HIT
2026-04-15 12:14:30.658797,HAVELLS,SELL,1282.7,1263.5,10,192.0,TARGET HIT
2026-04-15 12:14:30.659808,HAVELLS__PYR1,SELL,1278.8519,1263.5,10,153.52,TARGET HIT
2026-04-15 12:14:30.661303,HAVELLS__PYR2,SELL,1275.0038,1263.5,10,115.04,TARGET HIT
2026-04-15 12:23:39.580987,M&M__PYR2,BUY,3297.668,3272.9,10,-247.68,SL HIT
2026-04-15 13:05:28.630983,OIL,SELL,462.8,466.25,10,-34.5,SL HIT
2026-04-15 13:24:24.691690,M&M__PYR1,BUY,3287.834,3263.2,10,-246.34,SL HIT
2026-04-15 13:39:14.147300,PHOENIXLTD__PYR2,BUY,1791.686,1778.2,10,-134.86,SL HIT
2026-04-15 13:48:34.147694,PHOENIXLTD__PYR1,BUY,1786.343,1772.9,10,-134.43,SL HIT
