Time,Symbol,Side,Entry,Exit,Qty,PnL,Reason
2026-04-08 10:29:11.065674,SIEMENS,SELL,3150.0,3173.6,10,-236.0,SL HIT
2026-04-08 10:33:39.625294,MARICO,SELL,762.2,756.4,10,58.0,SL HIT
2026-04-08 10:33:39.636636,MARICO__PYR1,SELL,758.389,756.4,10,19.89,SL HIT
2026-04-08 10:33:39.637632,MARICO__PYR2,SELL,754.578,756.4,10,-18.22,SL HIT
2026-04-08 10:33:39.638763,MARICO__PYR3,SELL,750.767,756.4,10,-56.33,SL HIT
2026-04-08 10:48:02.346200,NAUKRI,SELL,1021.6,1029.25,10,-76.5,SL HIT
2026-04-08 10:48:23.661601,CIPLA,SELL,1205.6,1214.6,10,-90.0,SL HIT
2026-04-08 11:10:26.203741,PREMIERENE__PYR1,BUY,965.889,966.45,10,5.61,SL HIT
2026-04-08 11:27:39.964720,ZYDUSLIFE,SELL,879.7,886.3,10,-66.0,SL HIT
2026-04-08 11:30:43.347644,PREMIERENE,BUY,963.0,962.95,10,-0.5,SL HIT
2026-04-08 11:30:43.348645,PREMIERENE__PYR2,BUY,968.778,962.95,10,-58.28,SL HIT
2026-04-08 12:01:35.465659,TORNTPHARM__PYR2,SELL,4011.183,4041.3,10,-301.17,SL HIT
2026-04-08 12:07:39.413259,PIIND,SELL,2897.3,2919.0,10,-217.0,SL HIT
2026-04-08 12:47:26.633768,DIVISLAB__PYR1,SELL,5879.8075,5924.0,10,-441.93,SL HIT
2026-04-08 12:48:12.131065,KFINTECH,SELL,932.0,918.0,10,140.0,TARGET HIT
2026-04-08 12:48:12.132061,KFINTECH__PYR1,SELL,929.204,918.0,10,112.04,TARGET HIT
2026-04-08 12:48:12.135121,KFINTECH__PYR2,SELL,926.408,918.0,10,84.08,TARGET HIT
2026-04-08 13:02:22.923566,DIVISLAB,SELL,5897.5,5941.5,10,-440.0,SL HIT
