symbol,side,entry,sl,target,qty,trail_level,status,strategy,entry_time,net_pnl,tsl_only,tsl_step,pyramid_base,pyramid_leg,live_sl_oid,live_tgt_oid,sl_floor,daily_pnl_snapshot,profit_lock_armed
TECHM,SELL,1400.2,1415.9,,10,0.0,CLOSED,Open=High SELL@09:18,09:18,-157.0,True,0.75,,,,,,-747.7550000000023,0
MPHASIS,SELL,2128.1,2127.8,,10,0.75,CLOSED,Open=High SELL@09:18,09:18,3.0,True,0.75,,,,,,-747.7550000000023,0
MPHASIS__PYR1,SELL,2117.4595,2116.8,,10,0.75,CLOSED,Open=High SELL@09:18 [PYR1],09:18,6.59,True,0.75,MPHASIS,1,,,,-747.7550000000023,0
MPHASIS__PYR2,SELL,2106.819,2122.6,,10,0.0,CLOSED,Open=High SELL@09:18 [PYR2],09:38,-157.81,True,0.75,MPHASIS,2,,,,-747.7550000000023,0
AUROPHARMA,BUY,1312.9,1312.9,1332.6,10,0.75,CLOSED,ORB Break,10:15,0.0,False,0.75,,,,,,-747.7550000000023,0
AUROPHARMA__PYR1,BUY,1316.8387,1316.9,1332.6,10,0.75,CLOSED,ORB Break [PYR1],10:17,0.61,False,0.75,AUROPHARMA,1,,,,-747.7550000000023,0
POLICYBZR,SELL,1475.8,1475.7,1453.7,10,0.75,CLOSED,ORB Break SELL,10:19,58.0,False,0.75,,,,,,-747.7550000000023,0
PREMIERENE,BUY,911.2,904.35,924.85,10,0.0,CLOSED,ORB Break,10:28,-68.5,False,0.75,,,,,,-747.7550000000023,0
AUROPHARMA__PYR2,BUY,1320.7774,1310.9,1332.6,10,0.0,CLOSED,ORB Break [PYR2],10:33,-78.77,False,0.75,AUROPHARMA,2,,,,-747.7550000000023,0
MAXHEALTH,SELL,967.3,974.6,952.8,10,0.0,CLOSED,ORB Break SELL,10:33,-73.0,False,0.75,,,,,,-747.7550000000023,0
RELIANCE,BUY,1422.0,1411.3,1443.3,10,0.0,CLOSED,ORB Break,10:36,-107.0,False,0.75,,,,,,-747.7550000000023,0
RELIANCE__PYR1,BUY,1426.266,1415.6,1443.3,10,0.0,CLOSED,ORB Break [PYR1],10:43,-106.66,False,0.75,RELIANCE,1,,,,-747.7550000000023,0
SUNPHARMA,BUY,1780.0,1793.2,1806.7,10,1.5,CLOSED,ORB Break,10:43,267.0,False,0.75,,,,,,-747.7550000000023,0
WAAREEENER,BUY,3163.0,3162.9,3210.4,10,0.75,CLOSED,ORB Break,10:43,-1.0,False,0.75,,,,,,-747.7550000000023,0
INDUSTOWER,SELL,427.5,427.4,421.1,10,0.75,CLOSED,ORB Break SELL,10:52,1.0,False,0.75,,,,,,-747.7550000000023,0
GLENMARK,BUY,2148.6,2148.7,2180.8,10,0.75,CLOSED,ORB Break,10:55,231.0,False,0.75,,,,,,-747.7550000000023,0
INDUSTOWER__PYR1,SELL,426.2175,426.15,421.1,10,0.75,CLOSED,ORB Break SELL [PYR1],10:56,0.67,False,0.75,INDUSTOWER,1,,,,-747.7550000000023,0
