symbol,side,entry,sl,target,qty,trail_level,status,strategy,entry_time,net_pnl,tsl_only,tsl_step,pyramid_base,pyramid_leg,live_sl_oid,live_tgt_oid,sl_floor,daily_pnl_snapshot,profit_lock_armed
WAAREEENER__PYR1,BUY,3172.489,3148.7,3210.4,10,0.0,CLOSED,ORB Break [PYR1],11:01,-237.89,False,0.75,WAAREEENER,1,,,,-747.7550000000023,0
GLENMARK__PYR1,BUY,2155.0458,2155.0,2180.8,10,0.75,CLOSED,ORB Break [PYR1],11:05,-0.46,False,0.75,GLENMARK,1,,,,-747.7550000000023,0
INDUSTOWER__PYR2,SELL,424.935,428.1,421.1,10,0.0,CLOSED,ORB Break SELL [PYR2],11:22,-24.65,False,0.75,INDUSTOWER,2,,,,-747.7550000000023,0
POLICYBZR__PYR1,SELL,1471.3726,1482.4,1453.7,10,0.0,CLOSED,ORB Break SELL [PYR1],11:22,-110.27,False,0.75,POLICYBZR,1,,,,-747.7550000000023,0
BDL,SELL,1185.0,1193.9,1167.2,10,0.0,CLOSED,ORB Break SELL,11:23,18.0,False,0.75,,,,,,-747.7550000000023,0
HAL,SELL,3686.1,3713.7,3630.8,10,0.0,CLOSED,ORB Break SELL,11:24,180.0,False,0.75,,,,,,-747.7550000000023,0
BDL__PYR1,SELL,1181.445,1190.3,1167.2,10,0.0,CLOSED,ORB Break SELL [PYR1],11:26,-17.55,False,0.75,BDL,1,,,,-747.7550000000023,0
BEL,SELL,416.3,419.4,410.05,10,0.0,CLOSED,ORB Break SELL,11:35,29.5,False,0.75,,,,,,-747.7550000000023,0
BEL__PYR1,SELL,415.0511,418.15,410.05,10,0.0,CLOSED,ORB Break SELL [PYR1],11:38,17.01,False,0.75,BEL,1,,,,-747.7550000000023,0
HAL__PYR1,SELL,3675.0417,3702.6,3630.8,10,0.0,CLOSED,ORB Break SELL [PYR1],11:39,-275.58,False,0.75,HAL,1,,,,-747.7550000000023,0
JINDALSTEL,SELL,1132.1,1140.6,1115.1,10,0.0,CLOSED,ORB Break SELL,11:39,-85.0,False,0.75,,,,,,-747.7550000000023,0
SUNPHARMA__PYR1,BUY,1785.34,1785.3,1806.7,10,0.75,CLOSED,ORB Break [PYR1],11:46,213.6,False,0.75,SUNPHARMA,1,,,,-747.7550000000023,0
WAAREEENER__PYR2,BUY,3181.978,3158.1,3210.4,10,0.0,CLOSED,ORB Break [PYR2],11:52,-190.78,False,0.75,WAAREEENER,2,,,,-747.7550000000023,0
GLENMARK__PYR2,BUY,2161.4916,2161.6,2180.8,10,0.75,CLOSED,ORB Break [PYR2],11:55,102.08,False,0.75,GLENMARK,2,,,,-747.7550000000023,0
BHARATFORG,SELL,1722.0,1734.9,1696.2,10,0.0,CLOSED,ORB Break SELL,12:05,-129.0,False,0.75,,,,,,-747.7550000000023,0
COALINDIA,BUY,445.55,442.2,452.25,10,0.0,CLOSED,ORB Break,12:10,-22.5,False,0.75,,,,,,-747.7550000000023,0
SUNPHARMA__PYR2,BUY,1790.68,1790.9,1806.7,10,0.75,CLOSED,ORB Break [PYR2],12:14,160.2,False,0.75,SUNPHARMA,2,,,,-747.7550000000023,0
LUPIN,BUY,2355.4,2337.7,2390.7,10,0.0,CLOSED,ORB Break,12:24,-91.0,False,0.75,,,,,,-747.7550000000023,0
UPL,SELL,623.1,627.75,613.75,10,0.0,CLOSED,ORB Break SELL,12:26,-34.0,False,0.75,,,,,,-747.7550000000023,0
BDL__PYR2,SELL,1177.89,1186.7,1167.2,10,0.0,CLOSED,ORB Break SELL [PYR2],14:14,-53.1,False,0.75,BDL,2,,,,-747.7550000000023,0
PFC,SELL,402.15,405.15,396.1,10,0.0,CLOSED,ORB Break SELL,14:18,-14.5,False,0.75,,,,,,-747.7550000000023,0
