symbol,side,entry,sl,target,qty,trail_level,status,strategy,entry_time,net_pnl,tsl_only,tsl_step,pyramid_base,pyramid_leg,live_sl_oid,live_tgt_oid,sl_floor,daily_pnl_snapshot,profit_lock_armed,gross_win_target_hit
OIL,SELL,462.8,466.25,455.85,10,0.0,CLOSED,ORB Break SELL,10:16,-34.5,False,0.75,,,,,,-101.9900000000066,0,0
PREMIERENE,BUY,998.6,991.1,1013.6,10,0.0,CLOSED,ORB Break,10:17,7.5,False,0.75,,,,,,-101.9900000000066,0,0
WAAREEENER,BUY,3406.9,3407.6,3458.0,10,0.75,CLOSED,ORB Break,10:17,191.0,False,0.75,,,,,,-101.9900000000066,0,0
ZYDUSLIFE,BUY,931.45,924.45,945.4,10,0.0,CLOSED,ORB Break,10:20,50.5,False,0.75,,,,,,-101.9900000000066,0,0
MARICO,SELL,756.2,761.85,744.85,10,0.0,CLOSED,ORB Break SELL,10:21,14.5,False,0.75,,,,,,-101.9900000000066,0,0
WAAREEENER__PYR1,BUY,3417.1207,3420.7,3458.0,10,0.75,CLOSED,ORB Break [PYR1],10:23,88.79,False,0.75,WAAREEENER,1,,,,-101.9900000000066,0,0
M&M,BUY,3278.0,3253.4,3327.2,10,0.0,CLOSED,ORB Break,10:24,-199.0,False,0.75,,,,,,-101.9900000000066,0,0
M&M__PYR1,BUY,3287.834,3263.2,3327.2,10,0.0,CLOSED,ORB Break [PYR1],10:30,-246.34,False,0.75,M&M,1,,,,-101.9900000000066,0,0
AUROPHARMA,BUY,1365.4,1365.5,1385.9,10,0.75,CLOSED,ORB Break,10:34,82.0,False,0.75,,,,,,-101.9900000000066,0,0
AUROPHARMA__PYR1,BUY,1369.4962,1359.2,1385.9,10,0.0,CLOSED,ORB Break [PYR1],10:35,41.04,False,0.75,AUROPHARMA,1,,,,-101.9900000000066,0,0
PREMIERENE__PYR1,BUY,1001.5958,994.1,1013.6,10,0.0,CLOSED,ORB Break [PYR1],10:37,-22.46,False,0.75,PREMIERENE,1,,,,-101.9900000000066,0,0
BHARATFORG,BUY,1842.0,1828.2,1869.6,10,0.0,CLOSED,ORB Break,10:38,-138.0,False,0.75,,,,,,-101.9900000000066,0,0
BHARATFORG__PYR1,BUY,1847.526,1833.7,1869.6,10,0.0,CLOSED,ORB Break [PYR1],10:43,-138.26,False,0.75,BHARATFORG,1,,,,-101.9900000000066,0,0
