symbol,side,entry,sl,target,qty,trail_level,status,strategy,entry_time,net_pnl,tsl_only,tsl_step,pyramid_base,pyramid_leg,live_sl_oid,live_tgt_oid,sl_floor,daily_pnl_snapshot,profit_lock_armed,gross_win_target_hit
ZYDUSLIFE,SELL,903.75,909.6,,10,0.0,CLOSED,Open=High Breakdown SELL,09:20,-58.5,True,1.5,,,,,,2348.8359999999993,1,1
TATAELXSI,SELL,4430.0,4437.6,,10,1.5,CLOSED,Open=High Breakdown SELL,09:20,-76.0,True,1.5,,,,,4437.6,2348.8359999999993,1,1
TATAELXSI__PYR1,SELL,4407.85,4415.5,,10,1.5,CLOSED,Open=High Breakdown SELL [PYR1],09:41,-76.5,True,1.5,TATAELXSI,1,,,4415.5,2348.8359999999993,1,1
TATAELXSI__PYR2,SELL,4385.7,4418.6,,10,0.0,CLOSED,Open=High Breakdown SELL [PYR2],09:45,-329.0,True,1.5,TATAELXSI,2,,,,2348.8359999999993,1,1
AXISBANK,BUY,1355.6,1348.0,1375.9,10,0.75,CLOSED,ORB Break,10:15,-76.0,False,0.75,,,,,1348.0,2348.8359999999993,1,1
LT,BUY,3961.6,3949.4,4021.0,10,0.75,CLOSED,ORB Break,10:20,-122.0,False,0.75,,,,,3949.4,2348.8359999999993,1,1
TRENT,BUY,3915.8,3886.4,3974.5,10,0.0,CLOSED,ORB Break,10:30,-294.0,False,0.75,,,,,,2348.8359999999993,1,1
TRENT__PYR1,BUY,3927.5474,3898.1,3974.5,10,0.0,CLOSED,ORB Break [PYR1],10:40,-294.47,False,0.75,TRENT,1,,,,2348.8359999999993,1,1
POLICYBZR,BUY,1521.6,1514.0,1544.4,10,0.75,CLOSED,ORB Break,10:42,-76.0,False,0.75,,,,,1514.0,2348.8359999999993,1,1
TITAN,BUY,4460.0,4452.4,4526.9,10,0.75,CLOSED,ORB Break,10:43,490.0,False,0.75,,,,,4452.4,2348.8359999999993,1,1
POLICYBZR__PYR1,BUY,1526.1648,1514.7,1544.4,10,0.0,CLOSED,ORB Break [PYR1],10:43,-114.65,False,0.75,POLICYBZR,1,,,,2348.8359999999993,1,1
PREMIERENE,BUY,968.35,968.35,982.9,10,0.75,CLOSED,ORB Break,10:59,68.5,False,0.75,,,,,,2348.8359999999993,1,1
TITAN__PYR1,BUY,4473.38,4465.8,4526.9,10,0.75,CLOSED,ORB Break [PYR1],11:01,356.2,False,0.75,TITAN,1,,,4465.8,2348.8359999999993,1,1
