[2026-03-06 07:25:44] ENGINE STARTED | MODE: PAPER
[2026-03-06 07:32:27] ENGINE STARTED | MODE: PAPER
[2026-03-06 07:32:45] ENGINE STARTED | MODE: PAPER
[2026-03-06 09:42:20] ENGINE STARTED | MODE: PAPER
[2026-03-06 09:50:53] ENGINE STARTED | MODE: PAPER
[2026-03-06 10:02:08] ENGINE STARTED | MODE: PAPER
[2026-03-06 10:08:10] ENGINE STARTED | MODE: PAPER
[2026-03-06 10:18:05] ENGINE STARTED | MODE: PAPER
[2026-03-06 10:46:42] ENGINE STARTED | MODE: PAPER
[2026-03-06 10:51:55] ENGINE STARTED | MODE: PAPER
[2026-03-06 10:59:45] ENGINE STARTED | MODE: PAPER
[2026-03-06 11:07:49] ENGINE STARTED | MODE: PAPER
[2026-03-06 11:18:54] ENGINE STARTED | MODE: PAPER
[2026-03-06 11:19:49] ENGINE STARTED | MODE: PAPER
[2026-03-06 11:23:14] ENGINE STARTED | MODE: PAPER
[2026-03-06 11:25:15] ENGINE STARTED | MODE: PAPER
[2026-03-06 11:30:13] PAPER SELL HINDPETRO Entry:412.85 SL:415.95 Target:402.55

[2026-03-06 11:30:13] PAPER BUY JSWSTEEL Entry:1247.4 SL:1238.0 Target:1278.6

[2026-03-06 11:30:13] PAPER SELL LODHA Entry:896.6 SL:903.3 Target:874.2

[2026-03-06 11:30:13] PAPER BUY VEDL Entry:723.6 SL:718.15 Target:741.7

[2026-03-06 11:30:13] PAPER BUY INDIANB Entry:949.25 SL:942.15 Target:973.0

[2026-03-06 11:30:13] PAPER SELL GODREJCP Entry:1119.5 SL:1127.9 Target:1091.5

[2026-03-06 11:30:13] PAPER SELL ADANIENT Entry:2067.0 SL:2082.5 Target:2015.3

[2026-03-06 11:30:13] PAPER SELL ADANIGREEN Entry:873.9 SL:880.45 Target:852.05

[2026-03-06 11:30:13] PAPER BUY NATIONALUM Entry:396.9 SL:393.9 Target:406.8

[2026-03-06 11:30:13] PAPER SELL ALKEM Entry:5516.0 SL:5557.5 Target:5378.0

[2026-03-06 11:30:13] PAPER SELL DALBHARAT Entry:1896.5 SL:1910.7 Target:1849.1

[2026-03-06 11:30:13] PAPER SELL PNBHOUSING Entry:782.85 SL:788.7 Target:763.3

[2026-03-06 11:30:13] PAPER SELL HINDUNILVR Entry:2228.2 SL:2244.9 Target:2172.5

[2026-03-06 11:30:13] PAPER SELL HINDZINC Entry:590.05 SL:594.5 Target:575.3

[2026-03-06 11:30:17] PAPER SELL KOTAKBANK Entry:404.2 SL:407.25 Target:394.1

[2026-03-06 11:31:07] PAPER SELL PAYTM Entry:1042.0 SL:1049.8 Target:1015.9

[2026-03-06 11:31:41] PAPER SELL BHARTIARTL Entry:1885.9 SL:1900.0 Target:1838.8

[2026-03-06 11:32:00] PAPER SELL DLF Entry:576.4 SL:580.7 Target:562.0

[2026-03-06 11:32:49] PAPER BUY CGPOWER Entry:711.85 SL:706.5 Target:729.65

[2026-03-06 11:34:54] PAPER BUY SUNPHARMA Entry:1789.6 SL:1776.2 Target:1834.3

[2026-03-06 11:35:20] PAPER BUY DIVISLAB Entry:6396.5 SL:6348.5 Target:6556.5

[2026-03-06 11:36:16] PAPER BUY POWERGRID Entry:301.35 SL:299.1 Target:308.9

[2026-03-06 11:37:15] PAPER BUY ADANIENSOL Entry:994.0 SL:986.5 Target:1018.8

[2026-03-06 11:38:01] PAPER SELL ICICIPRULI Entry:618.2 SL:622.85 Target:602.75

[2026-03-06 11:38:31] PAPER BUY HINDALCO Entry:963.45 SL:956.2 Target:987.55

[2026-03-06 11:39:01] PAPER SELL KFINTECH Entry:914.5 SL:921.35 Target:891.65

[2026-03-06 11:40:52] PAPER BUY KEI Entry:4989.5 SL:4952.0 Target:5114.0

[2026-03-06 11:41:01] PAPER SELL PRESTIGE Entry:1355.8 SL:1366.0 Target:1321.9

[2026-03-06 11:41:05] PAPER BUY DELHIVERY Entry:430.2 SL:426.95 Target:440.95

[2026-03-06 11:41:08] PAPER BUY MARICO Entry:789.0 SL:783.1 Target:808.7

[2026-03-06 11:41:45] PAPER BUY INDUSTOWER Entry:456.4 SL:453.0 Target:467.8

[2026-03-06 11:42:37] PAPER BUY BIOCON Entry:391.75 SL:388.8 Target:401.55

[2026-03-06 11:43:18] PAPER SELL SBICARD Entry:726.6 SL:732.05 Target:708.45

[2026-03-06 11:43:53] PAPER SELL NAUKRI Entry:1005.6 SL:1013.1 Target:980.5

[2026-03-06 11:44:46] PAPER SELL JUBLFOOD Entry:494.75 SL:498.45 Target:482.4

[2026-03-06 11:45:19] PAPER SELL IRCTC Entry:558.75 SL:562.95 Target:544.8

[2026-03-06 11:52:53] ENGINE STARTED | MODE: PAPER
[2026-03-06 11:52:58] PAPER BUY SUNPHARMA Entry:1794.8 SL:1781.3 Target:1839.7

[2026-03-06 11:52:58] PAPER SELL 360ONE Entry:1070.7 SL:1078.7 Target:1043.9

[2026-03-06 11:52:58] PAPER SELL GODREJPROP Entry:1681.0 SL:1693.6 Target:1639.0

[2026-03-06 11:52:58] PAPER BUY BIOCON Entry:392.55 SL:389.6 Target:402.35

[2026-03-06 11:52:58] PAPER SELL HDFCBANK Entry:862.35 SL:868.8 Target:840.8

[2026-03-06 11:52:58] PAPER BUY BDL Entry:1363.8 SL:1353.6 Target:1397.9

[2026-03-06 11:52:58] PAPER BUY CUMMINSIND Entry:4862.0 SL:4825.5 Target:4983.5

[2026-03-06 11:52:58] PAPER SELL ADANIGREEN Entry:873.9 SL:880.45 Target:852.05

[2026-03-06 11:52:58] PAPER SELL HINDPETRO Entry:412.9 SL:416.0 Target:402.6

[2026-03-06 11:52:58] PAPER BUY INDIANB Entry:949.75 SL:942.65 Target:973.5

[2026-03-06 11:52:58] PAPER SELL TATAELXSI Entry:4351.0 SL:4383.6 Target:4242.2

[2026-03-06 11:52:58] PAPER SELL HINDUNILVR Entry:2228.1 SL:2244.8 Target:2172.4

[2026-03-06 11:52:58] PAPER SELL SBICARD Entry:726.55 SL:732.0 Target:708.4

[2026-03-06 11:52:58] PAPER SELL AMBUJACEM Entry:474.2 SL:477.75 Target:462.35

[2026-03-06 11:52:58] PAPER SELL LODHA Entry:900.0 SL:906.75 Target:877.5

[2026-03-06 11:52:58] PAPER SELL DALBHARAT Entry:1900.6 SL:1914.9 Target:1853.1

[2026-03-06 11:52:58] PAPER BUY KEI Entry:4991.5 SL:4954.0 Target:5116.5

[2026-03-06 11:52:58] PAPER BUY MAZDOCK Entry:2512.6 SL:2493.8 Target:2575.4

[2026-03-06 11:52:58] PAPER SELL NAUKRI Entry:1003.5 SL:1011.0 Target:978.4

[2026-03-06 11:52:58] PAPER SELL MUTHOOTFIN Entry:3270.0 SL:3294.5 Target:3188.2

[2026-03-06 11:52:58] PAPER BUY NATIONALUM Entry:398.3 SL:395.3 Target:408.25

[2026-03-06 11:52:58] PAPER SELL SYNGENE Entry:399.85 SL:402.85 Target:389.85

[2026-03-06 11:52:58] PAPER SELL OFSS Entry:6730.0 SL:6780.5 Target:6562.0

[2026-03-06 11:52:58] PAPER SELL RBLBANK Entry:307.7 SL:310.0 Target:300.0

[2026-03-06 11:52:58] PAPER SELL KOTAKBANK Entry:403.9 SL:406.95 Target:393.8

[2026-03-06 11:52:58] PAPER BUY TITAN Entry:4292.4 SL:4260.2 Target:4399.7

[2026-03-06 11:52:58] PAPER BUY APLAPOLLO Entry:2186.5 SL:2170.1 Target:2241.2

[2026-03-06 11:52:58] PAPER SELL ALKEM Entry:5531.0 SL:5572.5 Target:5392.5

[2026-03-06 11:52:58] PAPER BUY VEDL Entry:725.55 SL:720.1 Target:743.7

[2026-03-06 11:52:58] PAPER BUY JINDALSTEL Entry:1192.1 SL:1183.2 Target:1221.9

[2026-03-06 11:52:58] PAPER SELL ADANIENT Entry:2068.2 SL:2083.7 Target:2016.5

[2026-03-06 11:52:58] PAPER SELL GODREJCP Entry:1119.9 SL:1128.3 Target:1091.9

[2026-03-06 11:52:58] PAPER BUY POWERGRID Entry:301.6 SL:299.35 Target:309.15

[2026-03-06 12:24:52] ENGINE STARTED | MODE: PAPER
[2026-03-06 12:24:58] PAPER SELL KALYANKJIL Entry:395.9 SL:398.85 Target:386.0

[2026-03-06 12:24:58] PAPER SELL NUVAMA Entry:1234.7 SL:1244.0 Target:1203.8

[2026-03-06 12:24:58] PAPER SELL HINDZINC Entry:590.5 SL:594.95 Target:575.75

[2026-03-06 12:24:58] PAPER SELL TMPV Entry:350.65 SL:353.3 Target:341.9

[2026-03-06 12:24:58] PAPER SELL ICICIPRULI Entry:618.45 SL:623.1 Target:603.0

[2026-03-06 12:24:58] PAPER SELL EXIDEIND Entry:317.95 SL:320.35 Target:310.0

[2026-03-06 12:24:58] PAPER SELL JUBLFOOD Entry:494.2 SL:497.9 Target:481.85

[2026-03-06 12:24:58] PAPER BUY BHARATFORG Entry:1920.9 SL:1906.5 Target:1968.9

[2026-03-06 12:24:58] PAPER SELL IRCTC Entry:557.25 SL:561.45 Target:543.3

[2026-03-06 12:24:58] PAPER SELL TRENT Entry:3763.8 SL:3792.0 Target:3669.7

[2026-03-06 12:24:58] PAPER SELL KAYNES Entry:3767.4 SL:3795.7 Target:3673.2

[2026-03-06 12:24:58] PAPER SELL BHARTIARTL Entry:1884.3 SL:1898.4 Target:1837.2

[2026-03-06 12:24:58] PAPER SELL DLF Entry:577.55 SL:581.9 Target:563.1

[2026-03-06 12:25:13] PAPER SELL KPITTECH Entry:713.15 SL:718.5 Target:695.3

[2026-03-06 12:25:57] PAPER SELL LICI Entry:826.5 SL:832.7 Target:805.85

[2026-03-06 12:28:50] PAPER SELL LT Entry:3951.6 SL:3981.2 Target:3852.8

[2026-03-06 12:33:28] PAPER SELL UNITDSPR Entry:1318.2 SL:1328.1 Target:1285.2

[2026-03-06 12:35:53] PAPER BUY DIVISLAB Entry:6400.0 SL:6352.0 Target:6560.0

[2026-03-06 12:35:55] PAPER BUY HINDALCO Entry:963.4 SL:956.15 Target:987.5

[2026-03-06 12:36:06] PAPER BUY INDUSTOWER Entry:456.6 SL:453.2 Target:468.0

[2026-03-06 12:38:32] PAPER SELL DMART Entry:3832.1 SL:3860.8 Target:3736.3

[2026-03-06 12:45:49] ENGINE STARTED | MODE: PAPER
[2026-03-06 12:45:59] OFFLINE CLOSE MAZDOCK SL HIT (offline) BUY Entry:2512.6 Exit:2493.8 NetPnL:-208.00
[2026-03-06 12:45:59] OFFLINE CLOSE UNITDSPR SL HIT (offline) SELL Entry:1318.2 Exit:1328.1 NetPnL:-119.00
[2026-03-06 12:51:28] PAPER BUY ADANIENSOL Entry:994.2 SL:986.7 Target:1019.1

[2026-03-06 13:02:33] PAPER BUY PGEL Entry:616.4 SL:611.8 Target:631.8

