symbol,side,entry,sl,target,qty,trail_level,status,strategy,entry_time,net_pnl,tsl_only,tsl_step,pyramid_base,pyramid_leg,live_sl_oid,live_tgt_oid,sl_floor,daily_pnl_snapshot,profit_lock_armed,gross_win_target_hit
LT,SELL,3939.0,4000.0,,10,0,CLOSED,Open=High Breakdown SELL,09:41,200.0,True,1.5,,,,,,-2307.08,0,0
PNBHOUSING,SELL,859.05,875.9,,10,0,CLOSED,Open=High Breakdown SELL,09:42,-85.0,True,1.5,,,,,,-2307.08,0,0
INDUSTOWER,SELL,437.35,444.05,,10,0,CLOSED,Open=High Breakdown SELL,09:42,12.0,True,1.5,,,,,,-2307.08,0,0
PERSISTENT,SELL,5300.0,5385.2,,10,0,CLOSED,Open=High Breakdown SELL,09:42,-450.0,True,1.5,,,,,,-2307.08,0,0
COFORGE,SELL,1254.8,1276.1,,10,0,CLOSED,Open=High Breakdown SELL,09:42,107.0,True,1.5,,,,,,-2307.08,0,0
INDHOTEL,SELL,626.95,636.9,,10,0,CLOSED,Open=High Breakdown SELL,09:42,-33.5,True,1.5,,,,,,-2307.08,0,0
PERSISTENT__PYR1,SELL,5273.5,5313.1,,10,0,CLOSED,Open=High Breakdown SELL [PYR1],09:46,-396.0,True,1.5,PERSISTENT,1,,,,-2307.08,0,0
TATAELXSI,SELL,4377.8,4462.2,,10,0,CLOSED,Open=High Breakdown SELL,09:46,-302.0,True,1.5,,,,,,-2307.08,0,0
COFORGE__PYR1,SELL,1248.526,1257.9,,10,0,CLOSED,Open=High Breakdown SELL [PYR1],09:47,44.26,True,1.5,COFORGE,1,,,,-2307.08,0,0
HCLTECH,SELL,1436.2,1463.3,,10,0,CLOSED,Open=High Breakdown SELL,09:47,-37.0,True,1.5,,,,,,-2307.08,0,0
INDHOTEL__PYR1,SELL,623.8152,628.5,,10,0,CLOSED,Open=High Breakdown SELL [PYR1],09:48,-46.85,True,1.5,INDHOTEL,1,,,,-2307.08,0,0
INDUSTOWER__PYR1,SELL,435.1633,438.45,,10,0,CLOSED,Open=High Breakdown SELL [PYR1],09:49,-9.87,True,1.5,INDUSTOWER,1,,,,-2307.08,0,0
PHOENIXLTD,SELL,1686.5,1718.0,,10,0,CLOSED,Open=High Breakdown SELL,09:49,-166.0,True,1.5,,,,,,-2307.08,0,0
BHARTIARTL,SELL,1851.6,1875.5,,10,0,CLOSED,Open=High Breakdown SELL,09:49,16.0,True,1.5,,,,,,-2307.08,0,0
PIIND,SELL,2843.0,2894.1,,10,0,CLOSED,Open=High Breakdown SELL,09:50,17.0,True,1.5,,,,,,-2307.08,0,0
LODHA,SELL,768.35,784.35,,10,0,CLOSED,Open=High Breakdown SELL,09:51,-130.5,True,1.5,,,,,,-2307.08,0,0
INDHOTEL__PYR2,SELL,620.6805,625.35,,10,0,CLOSED,Open=High Breakdown SELL [PYR2],09:51,-46.69,True,1.5,INDHOTEL,2,,,,-2307.08,0,0
PIIND__PYR1,SELL,2828.785,2850.0,,10,0,CLOSED,Open=High Breakdown SELL [PYR1],09:54,-125.15,True,1.5,PIIND,1,,,,-2307.08,0,0
PNBHOUSING__PYR1,SELL,854.7547,861.15,,10,0,CLOSED,Open=High Breakdown SELL [PYR1],09:55,-63.95,True,1.5,PNBHOUSING,1,,,,-2307.08,0,0
CDSL,SELL,1262.9,1289.6,,10,0,CLOSED,Open=High Breakdown SELL,09:55,-128.0,True,1.5,,,,,,-2307.08,0,0
LODHA__PYR1,SELL,764.5082,770.25,,10,0,CLOSED,Open=High Breakdown SELL [PYR1],09:56,-57.42,True,1.5,LODHA,1,,,,-2307.08,0,0
