symbol,side,entry,sl,target,qty,trail_level,status,strategy,entry_time,net_pnl,tsl_only,tsl_step,pyramid_base,pyramid_leg,live_sl_oid,live_tgt_oid,sl_floor,daily_pnl_snapshot,profit_lock_armed,gross_win_target_hit
AXISBANK,SELL,1162.4,1187.0,,10,0.0,CLOSED,Open=High SELL@09:18,09:18,-82.0,True,0.75,,,,,,-2271.2500000000005,0,0
LUPIN,SELL,2310.4,2338.9,,10,0.0,CLOSED,Open=High SELL@09:18,09:18,-103.0,True,0.75,,,,,,-2271.2500000000005,0,0
TORNTPOWER,SELL,1331.6,1330.3,,10,0.75,CLOSED,Open=High SELL@09:18,09:18,55.0,True,0.75,,,,,,-2271.2500000000005,0,0
CUMMINSIND,SELL,4575.0,4618.0,,10,0.0,CLOSED,Open=High SELL@09:18,09:18,-430.0,True,0.75,,,,,,-2271.2500000000005,0,0
SRF,SELL,2460.0,2486.4,,10,0.0,CLOSED,Open=High SELL@09:18,09:18,37.0,True,0.75,,,,,,-2271.2500000000005,0,0
LAURUSLABS,SELL,998.0,997.6,,10,0.75,CLOSED,Open=High SELL@09:18,09:18,24.0,True,0.75,,,,,,-2271.2500000000005,0,0
ADANIENT,SELL,1808.2,1823.1,,10,0.0,CLOSED,Open=High SELL@09:18,09:18,-149.0,True,0.75,,,,,,-2271.2500000000005,0,0
CIPLA,SELL,1217.6,1237.4,,10,0.0,CLOSED,Open=High SELL@09:18,09:18,-116.0,True,0.75,,,,,,-2271.2500000000005,0,0
PAYTM,SELL,994.2,1002.9,,10,0.0,CLOSED,Open=High SELL@09:18,09:18,23.0,True,0.75,,,,,,-2271.2500000000005,0,0
DALBHARAT,SELL,1815.5,1841.2,,10,0.0,CLOSED,Open=High SELL@09:18,09:18,57.0,True,0.75,,,,,,-2271.2500000000005,0,0
BAJAJFINSV,SELL,1660.0,1691.3,,10,0.0,CLOSED,Open=High SELL@09:18,09:18,-51.0,True,0.75,,,,,,-2271.2500000000005,0,0
SIEMENS,SELL,2977.5,3011.7,,10,0.0,CLOSED,Open=High SELL@09:18,09:18,-245.0,True,0.75,,,,,,-2271.2500000000005,0,0
LICI,SELL,748.9,748.5,,10,0.75,CLOSED,Open=High SELL@09:18,09:18,47.0,True,0.75,,,,,,-2271.2500000000005,0,0
TCS,SELL,2358.9,2387.2,,10,0.0,CLOSED,Open=High SELL@09:18,09:18,-283.0,True,0.75,,,,,,-2271.2500000000005,0,0
PNBHOUSING,SELL,778.25,776.8,,10,0.75,CLOSED,Open=High SELL@09:18,09:18,14.5,True,0.75,,,,,,-2271.2500000000005,0,0
ADANIENSOL,SELL,949.1,958.2,,10,0.0,CLOSED,Open=High SELL@09:18,09:18,-4.0,True,0.75,,,,,,-2271.2500000000005,0,0
COFORGE,SELL,1124.0,1140.4,,10,0.0,CLOSED,Open=High SELL@09:18,09:18,-65.0,True,0.75,,,,,,-2271.2500000000005,0,0
TITAN,SELL,3922.7,3984.7,,10,0.0,CLOSED,Open=High SELL@09:18,09:18,-447.0,True,0.75,,,,,,-2271.2500000000005,0,0
WAAREEENER,SELL,3045.0,3043.6,,10,0.75,CLOSED,Open=High SELL@09:18,09:18,14.0,True,0.75,,,,,,-2271.2500000000005,0,0
UPL,SELL,587.9,594.2,,10,0.0,CLOSED,Open=High SELL@09:18,09:18,-14.5,True,0.75,,,,,,-2271.2500000000005,0,0
WAAREEENER__PYR1,SELL,3029.775,3052.5,,10,0.0,CLOSED,Open=High SELL@09:18 [PYR1],09:19,-138.25,True,0.75,WAAREEENER,1,,,,-2271.2500000000005,0,0
TORNTPOWER__PYR1,SELL,1324.942,1324.7,,10,0.75,CLOSED,Open=High SELL@09:18 [PYR1],09:19,2.42,True,0.75,TORNTPOWER,1,,,,-2271.2500000000005,0,0
PAYTM__PYR1,SELL,989.229,996.6,,10,0.0,CLOSED,Open=High SELL@09:18 [PYR1],09:19,-26.71,True,0.75,PAYTM,1,,,,-2271.2500000000005,0,0
PNBHOUSING__PYR1,SELL,774.3587,780.15,,10,0.0,CLOSED,Open=High SELL@09:18 [PYR1],09:19,-24.41,True,0.75,PNBHOUSING,1,,,,-2271.2500000000005,0,0
SRF__PYR1,SELL,2447.7,2466.1,,10,0.0,CLOSED,Open=High SELL@09:18 [PYR1],09:20,-86.0,True,0.75,SRF,1,,,,-2271.2500000000005,0,0
UPL__PYR1,SELL,584.9605,589.35,,10,0.0,CLOSED,Open=High SELL@09:18 [PYR1],09:20,-43.89,True,0.75,UPL,1,,,,-2271.2500000000005,0,0
LICI__PYR1,SELL,745.1555,750.75,,10,0.0,CLOSED,Open=High SELL@09:18 [PYR1],09:20,9.55,True,0.75,LICI,1,,,,-2271.2500000000005,0,0
AXISBANK__PYR1,SELL,1156.588,1165.3,,10,0.0,CLOSED,Open=High SELL@09:18 [PYR1],09:20,-87.12,True,0.75,AXISBANK,1,,,,-2271.2500000000005,0,0
TORNTPOWER__PYR2,SELL,1318.284,1328.2,,10,0.0,CLOSED,Open=High SELL@09:18 [PYR2],09:24,-99.16,True,0.75,TORNTPOWER,2,,,,-2271.2500000000005,0,0
LAURUSLABS__PYR1,SELL,993.01,1000.5,,10,0.0,CLOSED,Open=High SELL@09:18 [PYR1],09:25,-25.9,True,0.75,LAURUSLABS,1,,,,-2271.2500000000005,0,0
DALBHARAT__PYR1,SELL,1806.4225,1820.0,,10,0.0,CLOSED,Open=High SELL@09:18 [PYR1],09:25,-33.78,True,0.75,DALBHARAT,1,,,,-2271.2500000000005,0,0
