symbol,side,entry,sl,target,qty,trail_level,status,strategy,entry_time,net_pnl,tsl_only,tsl_step,pyramid_base,pyramid_leg,live_sl_oid,live_tgt_oid,daily_pnl_snapshot
JUBLFOOD,SELL,443.3,442.29,436.65,10,0.75,CLOSED,ORB Break SELL,10:17,48.5,False,0.75,,,,,-563.8000000000029
OIL,SELL,468.9,468.84,461.85,10,0.75,CLOSED,ORB Break SELL,10:18,31.0,False,0.75,,,,,-563.8000000000029
TORNTPHARM,SELL,4207.8,4239.4,4144.7,10,0.0,CLOSED,ORB Break SELL,10:18,-56.0,False,0.75,,,,,-563.8000000000029
PIDILITIND,SELL,1303.1,1312.9,1283.6,10,0.0,CLOSED,ORB Break SELL,10:20,-98.0,False,0.75,,,,,-563.8000000000029
RELIANCE,SELL,1395.2,1405.7,1374.3,10,0.0,CLOSED,ORB Break SELL,10:20,-105.0,False,0.75,,,,,-563.8000000000029
LAURUSLABS,SELL,962.4,969.6,948.0,10,0.0,CLOSED,ORB Break SELL,10:22,-73.0,False,0.75,,,,,-563.8000000000029
NESTLEIND,SELL,1171.1,1179.9,1153.5,10,0.0,CLOSED,ORB Break SELL,10:40,42.0,False,0.75,,,,,-563.8000000000029
JUBLFOOD__PYR1,SELL,441.9701,441.94,436.65,10,0.75,CLOSED,ORB Break SELL [PYR1],13:00,35.2,False,0.75,JUBLFOOD,1,2.035982612556079e+18,2.035982612908401e+18,-563.8000000000029
JUBLFOOD__PYR2,SELL,440.6402,440.53,436.65,10,0.75,CLOSED,ORB Break SELL [PYR2],13:00,21.9,False,0.75,JUBLFOOD,2,2.0359826149258609e+18,2.035982615273988e+18,-563.8000000000029
JUBLFOOD__PYR3,SELL,439.3103,442.6,436.65,10,0.0,CLOSED,ORB Break SELL [PYR3],13:00,8.6,False,0.75,JUBLFOOD,3,2.0359826172495053e+18,2.035982617589244e+18,-563.8000000000029
OIL__PYR1,SELL,467.4933,467.38,461.85,10,0.75,CLOSED,ORB Break SELL [PYR1],13:00,16.93,False,0.75,OIL,1,2.0359826195060408e+18,2.035982619879334e+18,-563.8000000000029
OIL__PYR2,SELL,466.0866,469.6,461.85,10,0.0,CLOSED,ORB Break SELL [PYR2],13:00,2.87,False,0.75,OIL,2,2.035982621867434e+18,2.035982622421082e+18,-563.8000000000029
MPHASIS,SELL,2048.1,2063.5,2017.4,10,0.0,CLOSED,ORB Break SELL,13:02,-157.8,False,0.75,,,,,-563.8000000000029
OIL__PYR3,SELL,464.6799,468.15,461.85,10,0.0,CLOSED,ORB Break SELL [PYR3],13:25,-34.7,False,0.75,OIL,3,2035988779550302208,2035988780053618688,-563.8000000000029
SUNPHARMA,BUY,1774.8,1761.5,1801.4,10,0.75,CLOSED,ORB Break,14:05,-141.0,False,0.75,,,,,-563.8000000000029
NESTLEIND__PYR1,SELL,1167.5867,1176.3,1153.5,10,0.0,CLOSED,ORB Break SELL [PYR1],14:32,6.87,False,0.75,NESTLEIND,1,2036005590702415872,2036005591193149440,-563.8000000000029
JUBLFOOD__PYR4,SELL,437.9804,441.25,436.65,10,0.0,CLOSED,ORB Break SELL [PYR4],15:04,-4.7,False,0.75,JUBLFOOD,4,2036013727811559424,2036013728528785408,-563.8000000000029
OIL__PYR4,SELL,463.2732,466.75,461.85,10,0.0,CLOSED,ORB Break SELL [PYR4],15:04,-25.27,False,0.75,OIL,4,2036013734866378753,2036013735290003456,-563.8000000000029
