symbol,side,entry,sl,target,qty,trail_level,status,strategy,entry_time,net_pnl,daily_pnl_snapshot
INFY,SELL,1291.7,1301.4,1272.3,10,0.0,CLOSED,ORB Break SELL,12:34,0.0,-1608.0000000000039
TCS,SELL,2500.0,2518.8,2462.5,10,0.0,CLOSED,YL Breakdown SELL,12:34,0.0,-1608.0000000000039
MARICO,BUY,787.0,781.1,798.8,10,0.0,CLOSED,ORB Break,12:34,0.0,-1608.0000000000039
TORNTPHARM,BUY,4437.8,4404.5,4504.4,10,0.0,CLOSED,ORB Break,12:34,0.0,-1608.0000000000039
SUPREMEIND,BUY,3935.0,3905.5,3994.0,10,0.0,CLOSED,ORB Break,12:34,0.0,-1608.0000000000039
TATACONSUM,SELL,1098.8,1107.0,1082.3,10,0.0,CLOSED,ORB Break SELL,12:44,0.0,-1608.0000000000039
TECHM,SELL,1317.0,1326.9,1297.2,10,0.75,CLOSED,ORB Break SELL,12:44,0.0,-1608.0000000000039
INDIANB,BUY,921.9,921.88,935.75,10,0.75,CLOSED,ORB Break,12:46,56.5,-1608.0000000000039
POWERGRID,BUY,299.0,296.75,303.5,10,0.0,CLOSED,ORB Break,12:58,-25.0,-1608.0000000000039
TATAPOWER,BUY,379.6,376.75,385.3,10,0.0,CLOSED,OPEN==LOW Break,13:08,-8.0,-1608.0000000000039
SBICARD,SELL,715.25,720.6,704.5,10,0.0,CLOSED,ORB Break SELL,13:24,-10.0,-1608.0000000000039
TIINDIA,BUY,2639.7,2619.9,2679.3,10,0.75,CLOSED,ORB Break,13:39,-218.0,-1608.0000000000039
AUBANK,SELL,937.8,944.85,923.75,10,0.0,CLOSED,15m InsideBreak SELL,13:58,-20.5,-1608.0000000000039
COLPAL,BUY,2199.0,2182.5,2232.0,10,0.0,CLOSED,EMA Pullback BUY,14:09,-90.0,-1608.0000000000039
