[2026-03-27 08:58:23] ENGINE STARTED | MODE: PAPER
[2026-03-27 09:18:00] PAPER SELL INDIGO Entry:4201.6 SL:4226.9 TSL-Only

[2026-03-27 09:18:00] PAPER SELL 360ONE Entry:987.2 SL:993.7 TSL-Only

[2026-03-27 09:18:00] PAPER SELL GODREJPROP Entry:1521.0 SL:1540.0 TSL-Only

[2026-03-27 09:18:00] PAPER SELL BHARATFORG Entry:1702.8 SL:1719.9 TSL-Only

[2026-03-27 09:18:00] PAPER SELL HDFCAMC Entry:2329.2 SL:2374.6 TSL-Only

[2026-03-27 09:18:00] PAPER SELL HINDZINC Entry:507.45 SL:509.95 TSL-Only

[2026-03-27 09:18:00] PAPER SELL CUMMINSIND Entry:4664.9 SL:4713.6 TSL-Only

[2026-03-27 09:18:00] PAPER SELL ADANIPORTS Entry:1362.6 SL:1368.6 TSL-Only

[2026-03-27 09:18:00] PAPER SELL CHOLAFIN Entry:1444.6 SL:1451.5 TSL-Only

[2026-03-27 09:18:00] PAPER SELL APLAPOLLO Entry:1968.8 SL:1984.4 TSL-Only

[2026-03-27 09:18:00] PAPER SELL SBIN Entry:1044.3 SL:1053.3 TSL-Only

[2026-03-27 09:18:00] PAPER SELL SIEMENS Entry:3060.2 SL:3093.7 TSL-Only

[2026-03-27 09:18:00] PAPER SELL AUROPHARMA Entry:1299.0 SL:1306.8 TSL-Only

[2026-03-27 09:18:00] PAPER SELL ADANIGREEN Entry:841.0 SL:850.1 TSL-Only

[2026-03-27 09:18:00] PAPER SELL MAZDOCK Entry:2231.4 SL:2246.2 TSL-Only

[2026-03-27 09:18:00] PAPER SELL FORTIS Entry:819.75 SL:830.85 TSL-Only

[2026-03-27 09:18:00] PAPER SELL TRENT Entry:3422.0 SL:3454.0 TSL-Only

[2026-03-27 09:18:00] PAPER SELL HDFCLIFE Entry:606.95 SL:611.4 TSL-Only

[2026-03-27 09:18:00] PAPER SELL JSWSTEEL Entry:1138.9 SL:1150.4 TSL-Only

[2026-03-27 09:18:01] PAPER SELL GODREJCP Entry:1015.3 SL:1030.0 TSL-Only

[2026-03-27 09:18:01] PAPER SELL PIIND Entry:2868.3 SL:2876.0 TSL-Only

[2026-03-27 09:18:01] PAPER SELL UNITDSPR Entry:1294.4 SL:1309.8 TSL-Only

[2026-03-27 09:18:01] PAPER SELL IRCTC Entry:515.2 SL:520.6 TSL-Only

[2026-03-27 09:18:01] PAPER SELL ICICIPRULI Entry:529.65 SL:537.3 TSL-Only

[2026-03-27 09:18:02] PAPER SELL LUPIN Entry:2333.7 SL:2355.7 TSL-Only

[2026-03-27 09:18:02] PAPER SELL ZYDUSLIFE Entry:895.05 SL:900.0 TSL-Only

[2026-03-27 09:18:02] PAPER SELL PHOENIXLTD Entry:1526.8 SL:1536.9 TSL-Only

[2026-03-27 09:18:02] PAPER SELL TIINDIA Entry:2636.1 SL:2661.1 TSL-Only

[2026-03-27 09:18:02] PAPER SELL PRESTIGE Entry:1194.0 SL:1214.4 TSL-Only

[2026-03-27 09:18:02] PAPER SELL OBEROIRLTY Entry:1467.2 SL:1485.7 TSL-Only

[2026-03-27 09:18:06] PAPER SELL CDSL Entry:1192.7 SL:1206.0 TSL-Only

[2026-03-27 09:18:06] PAPER SELL ADANIENSOL Entry:968.5 SL:980.9 TSL-Only

[2026-03-27 09:18:06] PAPER SELL CGPOWER Entry:680.45 SL:684.8 TSL-Only

[2026-03-27 09:18:06] PAPER SELL TORNTPHARM Entry:4277.1 SL:4305.7 TSL-Only

[2026-03-27 09:18:06] PAPER SELL AUBANK Entry:894.0 SL:905.45 TSL-Only

[2026-03-27 09:18:06] PAPER SELL DLF Entry:522.25 SL:529.0 TSL-Only

[2026-03-27 09:18:07] PAPER SELL ADANIENT Entry:1862.2 SL:1874.1 TSL-Only

[2026-03-27 09:18:45] PYRAMID Leg1 SIEMENS SELL Entry:3044.90 SL:3067.70 TSL-Only
[2026-03-27 09:18:46] PYRAMID Leg1 HDFCAMC SELL Entry:2317.55 SL:2334.90 TSL-Only
[2026-03-27 09:18:49] PYRAMID Leg1 UNITDSPR SELL Entry:1287.93 SL:1297.60 TSL-Only
[2026-03-27 09:18:58] PYRAMID Leg1 CHOLAFIN SELL Entry:1437.38 SL:1448.20 TSL-Only
[2026-03-27 09:19:07] PYRAMID Leg1 CDSL SELL Entry:1186.74 SL:1195.60 TSL-Only
[2026-03-27 09:19:13] PYRAMID Leg1 MAZDOCK SELL Entry:2220.24 SL:2236.90 TSL-Only
[2026-03-27 09:19:15] PYRAMID Leg1 CUMMINSIND SELL Entry:4641.58 SL:4676.40 TSL-Only
[2026-03-27 09:19:17] PYRAMID Leg1 360ONE SELL Entry:982.26 SL:989.60 TSL-Only
[2026-03-27 09:19:38] PYRAMID Leg1 ADANIGREEN SELL Entry:836.79 SL:843.05 TSL-Only
[2026-03-27 09:19:40] PYRAMID Leg1 ADANIENSOL SELL Entry:963.66 SL:970.90 TSL-Only
[2026-03-27 09:19:43] PYRAMID Leg2 HDFCAMC SELL Entry:2305.91 SL:2323.20 TSL-Only
[2026-03-27 09:20:00] F5 FROZEN RELIANCE O:1392.00 H:1404.70 L:1386.50 C:1392.70 Range:1.31%
[2026-03-27 09:20:00] F5 FROZEN CANBK O:133.00 H:134.85 L:131.86 C:131.87 Range:2.25%
[2026-03-27 09:20:00] F5 FROZEN NESTLEIND O:1202.50 H:1204.80 L:1196.30 C:1201.00 Range:0.71%
[2026-03-27 09:20:00] F5 FROZEN PAGEIND O:32090.00 H:32400.00 L:31860.00 C:31865.00 Range:1.68%
[2026-03-27 09:20:00] F5 FROZEN CIPLA O:1229.80 H:1239.90 L:1227.80 C:1232.10 Range:0.98%
[2026-03-27 09:20:00] F5 FROZEN HEROMOTOCO O:5200.00 H:5244.00 L:5179.50 C:5187.00 Range:1.24%
[2026-03-27 09:20:00] F5 FROZEN M&M O:3075.30 H:3105.20 L:3065.10 C:3071.00 Range:1.30%
[2026-03-27 09:20:00] F5 FROZEN TCS O:2403.00 H:2407.90 L:2391.10 C:2402.10 Range:0.70%
[2026-03-27 09:20:00] F5 FROZEN KAYNES O:3701.00 H:3715.90 L:3663.20 C:3678.20 Range:1.42%
[2026-03-27 09:20:00] F5 FROZEN NATIONALUM O:363.80 H:366.20 L:362.00 C:362.90 Range:1.15%
[2026-03-27 09:20:00] F5 FROZEN ULTRACEMCO O:11034.00 H:11068.00 L:10985.00 C:10995.00 Range:0.75%
[2026-03-27 09:20:00] F5 FROZEN TITAN O:3983.90 H:4023.80 L:3977.00 C:3979.60 Range:1.17%
[2026-03-27 09:20:00] F5 FROZEN PPLPHARMA O:139.00 H:140.61 L:138.87 C:139.06 Range:1.25%
[2026-03-27 09:20:00] F5 FROZEN EICHERMOT O:6895.50 H:6916.50 L:6870.50 C:6891.00 Range:0.67%
[2026-03-27 09:20:00] F5 FROZEN HDFCBANK O:768.15 H:774.90 L:766.15 C:767.50 Range:1.14%
[2026-03-27 09:20:00] F5 FROZEN MCX O:2433.50 H:2450.00 L:2426.10 C:2429.90 Range:0.98%
[2026-03-27 09:20:00] F5 FROZEN UNIONBANK O:175.50 H:178.90 L:174.38 C:174.38 Range:2.58%
[2026-03-27 09:20:00] F5 FROZEN TATATECH O:542.00 H:543.50 L:538.95 C:540.10 Range:0.84%
[2026-03-27 09:20:00] F5 FROZEN SUPREMEIND O:3812.50 H:3819.80 L:3791.30 C:3802.00 Range:0.75%
[2026-03-27 09:20:00] F5 FROZEN BSE O:2851.50 H:2868.10 L:2840.00 C:2844.80 Range:0.99%
[2026-03-27 09:20:00] F5 FROZEN PREMIERENE O:916.60 H:920.20 L:904.95 C:912.85 Range:1.66%
[2026-03-27 09:20:00] F5 FROZEN OFSS O:6865.00 H:6925.00 L:6830.50 C:6911.50 Range:1.38%
[2026-03-27 09:20:00] F5 FROZEN HINDPETRO O:352.30 H:357.70 L:350.35 C:350.70 Range:2.09%
[2026-03-27 09:20:00] F5 FROZEN AXISBANK O:1205.20 H:1213.50 L:1202.00 C:1206.60 Range:0.95%
[2026-03-27 09:20:00] F5 FROZEN POWERGRID O:291.80 H:294.75 L:290.30 C:290.95 Range:1.53%
[2026-03-27 09:20:00] F5 FROZEN VEDL O:656.75 H:659.50 L:651.30 C:655.80 Range:1.25%
[2026-03-27 09:20:00] F5 FROZEN WIPRO O:189.65 H:189.95 L:187.90 C:189.79 Range:1.08%
[2026-03-27 09:20:00] F5 FROZEN DIXON O:10159.00 H:10310.00 L:10105.00 C:10127.00 Range:2.02%
[2026-03-27 09:20:00] F5 FROZEN ASIANPAINT O:2252.60 H:2256.20 L:2237.80 C:2251.70 Range:0.82%
[2026-03-27 09:20:00] F5 FROZEN OIL O:472.10 H:475.45 L:470.55 C:471.80 Range:1.04%
[2026-03-27 09:20:00] F5 FROZEN SBICARD O:694.90 H:698.05 L:691.60 C:692.95 Range:0.93%
[2026-03-27 09:20:00] F5 FROZEN GAIL O:138.93 H:139.72 L:138.08 C:138.40 Range:1.18%
[2026-03-27 09:20:00] F5 FROZEN ANGELONE O:240.00 H:243.00 L:237.52 C:239.81 Range:2.28%
[2026-03-27 09:20:00] F5 FROZEN ICICIBANK O:1254.70 H:1260.90 L:1248.50 C:1254.50 Range:0.99%
[2026-03-27 09:20:00] F5 FROZEN PAYTM O:1042.50 H:1058.10 L:1038.00 C:1038.00 Range:1.93%
[2026-03-27 09:20:00] F5 FROZEN BHARTIARTL O:1828.10 H:1836.70 L:1824.00 C:1824.50 Range:0.69%
[2026-03-27 09:20:00] F5 FROZEN PNB O:106.93 H:109.00 L:106.41 C:106.48 Range:2.42%
[2026-03-27 09:20:00] F5 FROZEN PNBHOUSING O:793.95 H:804.05 L:790.70 C:791.65 Range:1.68%
[2026-03-27 09:20:00] F5 FROZEN ALKEM O:5391.00 H:5419.50 L:5370.50 C:5377.50 Range:0.91%
[2026-03-27 09:20:00] F5 FROZEN NUVAMA O:1200.10 H:1204.20 L:1196.50 C:1197.70 Range:0.64%
[2026-03-27 09:20:00] F5 FROZEN SAMMAANCAP O:145.96 H:148.90 L:145.11 C:145.75 Range:2.60%
[2026-03-27 09:20:00] F5 FROZEN PERSISTENT O:4900.10 H:4910.00 L:4851.10 C:4890.50 Range:1.20%
[2026-03-27 09:20:00] F5 FROZEN DIVISLAB O:5957.50 H:6017.00 L:5937.00 C:5944.50 Range:1.34%
[2026-03-27 09:20:00] F5 FROZEN IREDA O:118.25 H:118.91 L:117.00 C:117.05 Range:1.62%
[2026-03-27 09:20:00] F5 FROZEN EXIDEIND O:304.15 H:308.10 L:303.20 C:303.40 Range:1.61%
[2026-03-27 09:20:01] F5 FROZEN GRASIM O:2617.50 H:2637.70 L:2611.00 C:2611.00 Range:1.02%
[2026-03-27 09:20:01] F5 FROZEN PETRONET O:250.20 H:253.75 L:249.30 C:250.40 Range:1.78%
[2026-03-27 09:20:01] F5 FROZEN LAURUSLABS O:1007.10 H:1018.10 L:1005.00 C:1008.90 Range:1.30%
[2026-03-27 09:20:01] F5 FROZEN VOLTAS O:1341.80 H:1359.00 L:1331.50 C:1332.30 Range:2.05%
