Time,Symbol,Side,Entry,Exit,Qty,PnL,Reason
2026-02-28 07:41:17.207407,360ONE,SELL,1117.0,1107.0,10,60.0,SL HIT
2026-02-28 08:06:44.234349,AVANTIFEED,SELL,1324.6,1291.25,10,293.4999999999991,TARGET HIT
2026-02-28 08:06:53.250165,CIPLA,SELL,1323.0,1323.0,10,-40.0,SL HIT
2026-02-28 08:12:56.863059,GOCOLORS,SELL,337.3,328.2,10,51.00000000000023,TARGET HIT
2026-02-28 08:15:06.102615,ASTERDM,BUY,635.8,635.8,10,-40.0,SL HIT
2026-02-28 08:16:54.313249,ELGIEQUIP,BUY,535.7,551.3,10,115.99999999999909,TARGET HIT
2026-02-28 08:17:35.396574,HAPPSTMNDS,SELL,375.9,366.5,10,53.99999999999977,TARGET HIT
2026-02-28 08:19:10.596918,HAL,SELL,4062.7,4032.7,10,260.0,SL HIT
2026-02-28 08:21:02.831064,GODREJIND,BUY,1045.2,1044.95,10,-42.5,SL HIT
2026-02-28 08:21:04.838798,AIAENG,SELL,3900.0,3857.0,10,390.0,SL HIT
2026-02-28 09:14:57.769896,DHANUKA,SELL,1049.6,1023.2,10,223.99999999999864,TARGET HIT
2026-02-28 09:15:10.779526,AAVAS,SELL,1280.0,1280.4,10,-44.00000000000091,SL HIT
2026-02-28 09:15:22.796625,AETHER,SELL,952.7,952.9,10,-41.99999999999932,SL HIT
2026-02-28 09:15:36.807165,CHENNPETRO,BUY,927.0,929.6,10,-13.999999999999773,SL HIT
2026-02-28 09:15:56.847557,CAMS,SELL,701.8,683.65,10,141.49999999999977,TARGET HIT
2026-02-28 09:17:14.962588,HGINFRA,SELL,553.7,539.6,10,101.00000000000023,TARGET HIT
2026-02-28 09:17:51.070661,GRAPHITE,BUY,736.55,737.5,10,-30.499999999999545,SL HIT
2026-02-28 09:19:48.248430,360ONE,SELL,1117.0,1107.0,10,60.0,SL HIT
2026-02-28 09:20:10.280572,AGI,SELL,549.1,550.0,10,-48.99999999999977,SL HIT
2026-02-28 09:22:53.540244,BBTC,SELL,1708.0,1706.9,10,-29.00000000000091,SL HIT
2026-02-28 09:24:43.750877,CEATLTD,SELL,3664.4,3561.4,10,990.0,TARGET HIT
2026-02-28 09:28:06.176059,CANFINHOME,SELL,878.35,843.3,10,310.5000000000007,TARGET HIT
2026-02-28 09:28:21.199588,ASAHIINDIA,SELL,926.0,894.0,10,280.0,TARGET HIT
2026-02-28 09:47:28.073354,GLENMARK,BUY,2098.5,2098.4,10,-40.99999999999909,SL HIT
2026-02-28 10:25:19.886292,HCG,SELL,576.75,576.95,10,-42.000000000000455,SL HIT
2026-02-28 10:27:31.043149,ADANIPORTS,BUY,1565.0,1564.5,10,-45.0,SL HIT
2026-02-28 10:37:21.878370,GLAXO,BUY,2639.0,2640.0,10,-30.0,SL HIT
2026-02-28 11:24:11.981598,AFFLE,SELL,1498.0,1459.0,10,350.0,TARGET HIT
2026-02-28 11:24:41.024396,BDL,SELL,1257.5,1256.1,10,-25.99999999999909,SL HIT
2026-02-28 11:25:11.083905,AGI,SELL,563.4,562.75,10,-33.50000000000023,SL HIT
2026-02-28 11:25:34.123372,POLICYBZR,SELL,1481.3,1496.3,10,-190.0,SL HIT
2026-02-28 11:27:05.346269,GARFIBRES,SELL,650.05,648.65,10,-26.000000000000227,SL HIT
2026-02-28 11:28:01.400381,CREDITACC,SELL,1280.0,1293.1,10,-170.9999999999991,SL HIT
2026-02-28 11:29:06.515971,TEJASNET,SELL,322.2,313.75,10,44.499999999999886,TARGET HIT
2026-02-28 11:31:32.717831,EMAMILTD,SELL,475.15,475.05,10,-39.00000000000034,SL HIT
2026-02-28 11:31:42.728707,CYIENT,SELL,969.2,954.7,10,105.0,SL HIT
2026-02-28 11:32:01.760414,APLLTD,SELL,762.7,764.85,10,-61.49999999999977,SL HIT
2026-02-28 11:32:03.767047,KFINTECH,SELL,1003.8,1003.8,10,-40.0,SL HIT
2026-02-28 11:32:34.794558,HGINFRA,SELL,573.65,567.9,10,17.5,SL HIT
2026-02-28 11:33:02.828426,DIAMONDYD,SELL,1064.1,1075.0,10,-149.0000000000009,SL HIT
2026-02-28 11:33:17.855312,ADANIENSOL,BUY,1010.1,1037.25,10,231.49999999999977,TARGET HIT
2026-02-28 11:33:22.859905,CAMS,SELL,710.5,710.9,10,-43.99999999999977,SL HIT
2026-02-28 14:01:59.300624,CARTRADE,SELL,2553.0,2553.0,10,-295.300000000002,SL HIT
2026-02-28 14:01:59.302643,BAJAJFINSV,SELL,1882.1,1882.1,10,-228.20000000000164,SL HIT
2026-02-28 14:01:59.302643,CHALET,SELL,844.7,844.7,10,-124.49999999999932,SL HIT
2026-02-28 14:01:59.302643,CLEAN,SELL,797.4,797.4,10,-119.70000000000027,SL HIT
2026-02-28 14:02:00.921012,BAJAJHCARE,SELL,338.25,338.25,10,-73.79999999999995,SL HIT
2026-02-28 14:02:00.949670,CARBORUNIV,SELL,771.4,771.4,10,-117.10000000000036,SL HIT
2026-02-28 14:02:04.243848,EIDPARRY,SELL,870.25,878.4,10,-127.00000000000045,SL HIT
2026-02-28 14:02:23.918282,DEEPAKNTR,SELL,1578.0,1594.0,10,-197.79999999999973,SL HIT
2026-02-28 14:02:25.540922,DHANUKA,SELL,1080.3,1079.5,10,-25.800000000001546,SL HIT
2026-02-28 14:02:25.555125,BRITANNIA,SELL,5706.0,5760.0,10,-610.600000000004,SL HIT
2026-02-28 14:02:30.562241,GHCL,SELL,516.2,521.6,10,-91.59999999999968,SL HIT
2026-02-28 14:02:32.108501,BDL,SELL,1365.0,1332.6,10,301.1999999999989,TARGET HIT
2026-02-28 14:02:33.748544,ERIS,SELL,1365.0,1379.6,10,-176.5000000000009,SL HIT
2026-02-28 14:02:35.388167,SALZERELEC,SELL,546.55,560.7,10,-94.70000000000027,SL HIT
2026-02-28 14:02:45.223508,GODREJAGRO,SELL,515.05,521.45,10,-91.50000000000091,SL HIT
2026-02-28 14:02:58.305403,DCMSHRIRAM,SELL,1140.0,1152.0,10,-154.0000000000009,SL HIT
2026-02-28 14:05:55.630604,GRASIM,SELL,2715.4,2744.2,10,-311.5000000000009,SL HIT
2026-02-28 14:05:57.272556,CUMMINSIND,SELL,3978.9,4013.9,10,-437.89999999999964,SL HIT
2026-02-28 14:07:06.093124,DRREDDY,SELL,1168.7,1180.7,10,-156.90000000000055,SL HIT
2026-02-28 14:07:40.673412,GNFC,SELL,456.55,461.6,10,-85.69999999999993,SL HIT
2026-02-28 14:08:16.714666,FORTIS,SELL,826.9,825.7,10,-27.799999999999727,SL HIT
2026-02-28 14:08:34.628792,CREDITACC,SELL,1263.5,1230.4,10,275.8999999999992,TARGET HIT
2026-02-28 14:09:05.785980,ADANIPOWER,SELL,131.85,133.07,10,-53.19999999999993,SL HIT
2026-02-28 14:10:24.450974,ARE&M,SELL,819.9,821.1,10,-39.20000000000073,SL HIT
2026-02-28 14:10:37.649336,GRINDWELL,SELL,1509.9,1523.8,10,-190.9999999999991,SL HIT
