symbol,side,entry,sl,target,qty,trail_level,status,strategy,entry_time,net_pnl,tsl_only,tsl_step,pyramid_base,pyramid_leg,live_sl_oid,live_tgt_oid,sl_floor,daily_pnl_snapshot,profit_lock_armed,gross_win_target_hit
HDFCLIFE,SELL,607.6,611.95,,10,1.5,CLOSED,Open=High Breakdown SELL,09:41,-43.5,True,1.5,,,,,611.95,1317.53,1,0
HDFCAMC,SELL,2762.6,2774.5,,10,1.5,CLOSED,Open=High Breakdown SELL,09:41,-119.0,True,1.5,,,,,2774.5,1317.53,1,0
SRF,SELL,2469.3,2474.0,,10,1.5,CLOSED,Open=High Breakdown SELL,09:46,-47.0,True,1.5,,,,,2474.0,1317.53,1,0
SYNGENE,SELL,433.4,441.3,,10,0.0,CLOSED,Open=High Breakdown SELL,09:46,-79.0,True,1.5,,,,,,1317.53,1,0
SBICARD,SELL,686.4,687.8,,10,1.5,CLOSED,Open=High Breakdown SELL,09:46,-14.0,True,1.5,,,,,687.8,1317.53,1,0
LICI,SELL,830.0,833.75,,10,1.5,CLOSED,Open=High Breakdown SELL,09:46,10.5,True,1.5,,,,,833.75,1317.53,1,0
JSWENERGY,SELL,529.3,541.6,,10,0.0,CLOSED,Open=High Breakdown SELL,09:48,-123.0,True,1.5,,,,,,1317.53,1,0
COFORGE,SELL,1294.1,1303.8,,10,1.5,CLOSED,Open=High Breakdown SELL,10:14,-97.0,True,1.5,,,,,1303.8,1317.53,1,0
DIVISLAB,BUY,6295.0,6271.5,6389.5,10,0.75,CLOSED,ORB Break,10:16,-235.0,False,0.75,,,,,6271.5,1317.53,1,0
JSWSTEEL,BUY,1252.2,1261.5,1271.0,10,1.5,CLOSED,ORB Break,10:18,188.0,False,0.75,,,,,,1317.53,1,0
SBILIFE,BUY,1985.0,1978.7,2014.8,10,0.75,CLOSED,ORB Break,10:22,-63.0,False,0.75,,,,,1978.7,1317.53,1,0
TATACONSUM,BUY,1123.3,1121.9,1140.1,10,0.75,CLOSED,ORB Break,10:23,-14.0,False,0.75,,,,,1121.9,1317.53,1,0
BAJAJFINSV,BUY,1847.2,1839.9,1874.9,10,0.75,CLOSED,ORB Break,10:24,-73.0,False,0.75,,,,,1839.9,1317.53,1,0
ASIANPAINT,BUY,2495.3,2495.7,2532.7,10,0.75,CLOSED,ORB Break,10:24,228.0,False,0.75,,,,,,1317.53,1,0
INDIGO,BUY,4648.5,4648.9,4718.2,10,0.75,CLOSED,ORB Break,10:26,319.0,False,0.75,,,,,,1317.53,1,0
TIINDIA,BUY,2798.9,2820.7,2840.9,10,1.5,CLOSED,ORB Break,10:26,420.0,False,0.75,,,,,,1317.53,1,0
CONCOR,BUY,506.7,505.3,514.3,10,0.75,CLOSED,ORB Break,10:29,-14.0,False,0.75,,,,,505.3,1317.53,1,0
PFC,BUY,468.0,468.05,475.0,10,0.75,CLOSED,ORB Break,10:30,70.0,False,0.75,,,,,,1317.53,1,0
APLAPOLLO,BUY,2124.0,2124.0,2155.9,10,0.75,CLOSED,ORB Break,10:30,202.0,False,0.75,,,,,,1317.53,1,0
SHRIRAMFIN,BUY,1046.6,1045.2,1062.3,10,0.75,CLOSED,ORB Break,10:30,-14.0,False,0.75,,,,,1045.2,1317.53,1,0
APLAPOLLO__PYR1,BUY,2130.372,2130.8,2155.9,10,0.75,CLOSED,ORB Break [PYR1],10:32,138.28,False,0.75,APLAPOLLO,1,,,,1317.53,1,0
INDIGO__PYR1,BUY,4662.4455,4661.0,4718.2,10,0.75,CLOSED,ORB Break [PYR1],10:32,-14.45,False,0.75,INDIGO,1,,,4661.0,1317.53,1,0
JSWSTEEL__PYR1,BUY,1255.9566,1258.1,1271.0,10,0.75,CLOSED,ORB Break [PYR1],10:33,150.43,False,0.75,JSWSTEEL,1,,,,1317.53,1,0
CONCOR__PYR1,BUY,508.2201,506.7,514.3,10,0.75,CLOSED,ORB Break [PYR1],10:40,-15.2,False,0.75,CONCOR,1,,,506.7,1317.53,1,0
ASIANPAINT__PYR1,BUY,2502.7859,2501.4,2532.7,10,0.75,CLOSED,ORB Break [PYR1],10:43,-13.86,False,0.75,ASIANPAINT,1,,,2501.4,1317.53,1,0
PFC__PYR1,BUY,469.404,469.4,475.0,10,0.75,CLOSED,ORB Break [PYR1],10:53,55.96,False,0.75,PFC,1,,,,1317.53,1,0
ADANIPORTS,BUY,1594.0,1592.6,1617.9,10,0.75,CLOSED,ORB Break,10:54,-14.0,False,0.75,,,,,1592.6,1317.53,1,0
PFC__PYR2,BUY,470.808,470.8,475.0,10,0.75,CLOSED,ORB Break [PYR2],10:56,41.92,False,0.75,PFC,2,,,,1317.53,1,0
TIINDIA__PYR1,BUY,2807.2967,2807.8,2840.9,10,0.75,CLOSED,ORB Break [PYR1],10:57,336.03,False,0.75,TIINDIA,1,,,,1317.53,1,0
TIINDIA__PYR2,BUY,2815.6934,2815.7,2840.9,10,0.75,CLOSED,ORB Break [PYR2],11:01,252.07,False,0.75,TIINDIA,2,,,,1317.53,1,0
TCS,BUY,2590.2,2588.8,2629.1,10,0.75,CLOSED,ORB Break,11:30,-14.0,False,0.75,,,,,2588.8,1317.53,1,0
JSWSTEEL__PYR2,BUY,1259.7132,1259.9,1271.0,10,0.75,CLOSED,ORB Break [PYR2],11:32,112.87,False,0.75,JSWSTEEL,2,,,,1317.53,1,0
TATACONSUM__PYR1,BUY,1126.6699,1125.3,1140.1,10,0.75,CLOSED,ORB Break [PYR1],11:42,-13.7,False,0.75,TATACONSUM,1,,,1125.3,1317.53,1,0
BHARATFORG,BUY,1875.0,1872.7,1903.1,10,0.75,CLOSED,ORB Break,11:53,-23.0,False,0.75,,,,,1872.7,1317.53,1,0
