Time,Symbol,Side,Entry,Exit,Qty,PnL,Reason
2026-04-10 09:34:42.014477,ZYDUSLIFE,SELL,903.75,909.6,10,-58.5,SL HIT
2026-04-10 09:58:35.796847,TATAELXSI__PYR2,SELL,4385.7,4418.6,10,-329.0,SL HIT
2026-04-10 11:08:11.569654,POLICYBZR__PYR1,BUY,1526.1648,1514.7,10,-114.65,SL HIT
2026-04-10 11:43:12.594618,TRENT__PYR1,BUY,3927.5474,3898.1,10,-294.47,SL HIT
2026-04-10 11:49:42.617824,TRENT,BUY,3915.8,3886.4,10,-294.0,SL HIT
2026-04-10 11:55:20.197800,SIEMENS,BUY,3292.7,3342.1,10,494.0,TARGET HIT
2026-04-10 11:55:20.199808,SIEMENS__PYR1,BUY,3302.5781,3342.1,10,395.22,TARGET HIT
2026-04-10 11:55:20.201183,SIEMENS__PYR2,BUY,3312.4562,3342.1,10,296.44,TARGET HIT
2026-04-10 11:55:37.118994,ABB,BUY,6720.0,6821.0,10,1010.0,TARGET HIT
2026-04-10 11:55:37.119995,ABB__PYR1,BUY,6740.16,6821.0,10,808.4,TARGET HIT
2026-04-10 11:55:37.120995,ABB__PYR2,BUY,6760.32,6821.0,10,606.8,TARGET HIT
2026-04-10 12:02:39.517589,TITAN__PYR2,BUY,4486.76,4469.7,10,-170.6,SL HIT
2026-04-10 12:03:09.325324,TATAELXSI__PYR1,SELL,4407.85,4415.5,10,-76.5,SL HIT
2026-04-10 12:03:27.346530,PIDILITIND__PYR1,SELL,1338.971,1346.6,10,-76.29,SL HIT
2026-04-10 12:11:55.270311,ICICIPRULI,SELL,544.3,548.4,10,-41.0,SL HIT
2026-04-10 12:13:37.769965,PIDILITIND,SELL,1343.0,1350.6,10,-76.0,SL HIT
2026-04-10 12:15:43.778046,LT,BUY,3961.6,3949.4,10,-122.0,SL HIT
2026-04-10 12:15:52.554566,ADANIPORTS__PYR2,BUY,1472.6834,1465.1,10,-75.83,SL HIT
2026-04-10 12:21:34.624439,POLICYBZR,BUY,1521.6,1514.0,10,-76.0,SL HIT
2026-04-10 12:34:51.793468,AXISBANK,BUY,1355.6,1348.0,10,-76.0,SL HIT
2026-04-10 12:39:36.345238,TATAELXSI,SELL,4430.0,4437.6,10,-76.0,SL HIT
2026-04-10 13:05:43.132841,PREMIERENE__PYR1,BUY,971.255,971.65,10,3.95,SL HIT
2026-04-10 13:37:04.131709,AUBANK,BUY,985.55,978.15,10,-74.0,SL HIT
2026-04-10 13:50:47.313844,INDIGO,BUY,4534.5,4526.9,10,-76.0,SL HIT
2026-04-10 13:50:47.314845,INDIGO__PYR1,BUY,4548.1035,4526.9,10,-212.04,SL HIT
2026-04-10 14:15:40.834846,CAMS__PYR2,BUY,718.4852,713.1,10,-53.85,SL HIT
