Time,Symbol,Side,Entry,Exit,Qty,PnL,Reason
2026-03-25 09:53:49.595298,MPHASIS__PYR1,SELL,2117.4595,2116.8,10,6.59,SL HIT
2026-03-25 10:00:03.593706,MPHASIS__PYR2,SELL,2106.819,2122.6,10,-157.81,SL HIT
2026-03-25 10:01:26.931782,TECHM,SELL,1400.2,1415.9,10,-157.0,SL HIT
2026-03-25 10:02:12.597924,MPHASIS,SELL,2128.1,2127.8,10,3.0,SL HIT
2026-03-25 10:29:48.383249,PREMIERENE,BUY,911.2,904.35,10,-68.5,SL HIT
2026-03-25 11:06:57.299656,MAXHEALTH,SELL,967.3,974.6,10,-73.0,SL HIT
2026-03-25 11:25:24.580769,WAAREEENER__PYR1,BUY,3172.489,3148.7,10,-237.89,SL HIT
2026-03-25 12:15:25.805394,HAL__PYR1,SELL,3675.0417,3702.6,10,-275.58,SL HIT
2026-03-25 12:43:13.399178,POLICYBZR__PYR1,SELL,1471.3726,1482.4,10,-110.27,SL HIT
2026-03-25 12:47:08.794003,BHARATFORG,SELL,1722.0,1734.9,10,-129.0,SL HIT
2026-03-25 12:54:10.757637,GLENMARK__PYR1,BUY,2155.0458,2155.0,10,-0.46,SL HIT
2026-03-25 13:25:28.130861,AUROPHARMA__PYR1,BUY,1316.8387,1316.9,10,0.61,SL HIT
2026-03-25 13:27:36.412870,INDUSTOWER__PYR1,SELL,426.2175,426.15,10,0.67,SL HIT
2026-03-25 13:28:11.326121,INDUSTOWER,SELL,427.5,427.4,10,1.0,SL HIT
2026-03-25 13:28:11.327332,INDUSTOWER__PYR2,SELL,424.935,427.4,10,-24.65,SL HIT
2026-03-25 13:34:30.881875,JINDALSTEL,SELL,1132.1,1140.6,10,-85.0,SL HIT
2026-03-25 13:43:22.594243,AUROPHARMA,BUY,1312.9,1312.9,10,0.0,SL HIT
2026-03-25 13:43:22.596230,AUROPHARMA__PYR2,BUY,1320.7774,1312.9,10,-78.77,SL HIT
2026-03-25 14:11:41.868073,SUNPHARMA,BUY,1780.0,1806.7,10,267.0,TARGET HIT
2026-03-25 14:11:41.870075,SUNPHARMA__PYR1,BUY,1785.34,1806.7,10,213.6,TARGET HIT
2026-03-25 14:11:41.871074,SUNPHARMA__PYR2,BUY,1790.68,1806.7,10,160.2,TARGET HIT
2026-03-25 14:23:31.174051,WAAREEENER,BUY,3163.0,3162.9,10,-1.0,SL HIT
2026-03-25 14:23:31.176063,WAAREEENER__PYR2,BUY,3181.978,3162.9,10,-190.78,SL HIT
2026-03-25 14:53:45.347387,RELIANCE__PYR1,BUY,1426.266,1415.6,10,-106.66,SL HIT
2026-03-25 15:01:23.171902,RELIANCE,BUY,1422.0,1411.3,10,-107.0,SL HIT
