symbol,side,entry,sl,target,qty,trail_level,status,strategy,entry_time,net_pnl,tsl_only,tsl_step,pyramid_base,pyramid_leg,live_sl_oid,live_tgt_oid,sl_floor,daily_pnl_snapshot,profit_lock_armed,gross_win_target_hit
HDFCBANK,SELL,809.3,809.3,,10,1.5,CLOSED,Open=High Breakdown SELL,09:20,92.5,True,1.5,,,,,809.3,2764.41,1,0
UNITDSPR,SELL,1363.6,1375.0,,10,0.0,CLOSED,Open=High Breakdown SELL,09:24,-114.0,True,1.5,,,,,,2764.41,1,0
UNITDSPR__PYR1,SELL,1356.782,1367.0,,10,0.0,CLOSED,Open=High Breakdown SELL [PYR1],09:30,-102.18,True,1.5,UNITDSPR,1,,,,2764.41,1,0
HDFCBANK__PYR1,SELL,805.2535,805.25,,10,1.5,CLOSED,Open=High Breakdown SELL [PYR1],09:55,0.04,True,1.5,HDFCBANK,1,,,805.25,2764.41,1,0
HDFCLIFE,SELL,607.5,607.9,598.4,10,0.75,CLOSED,ORB Break SELL,10:15,-4.0,False,0.75,,,,,607.9,2764.41,1,0
ICICIPRULI,SELL,541.5,541.5,533.4,10,0.75,CLOSED,ORB Break SELL,10:15,0.0,False,0.75,,,,,541.5,2764.41,1,0
FORTIS,BUY,929.0,929.0,942.95,10,0.75,CLOSED,ORB Break,10:15,0.0,False,0.75,,,,,929.0,2764.41,1,0
LODHA,BUY,883.9,883.9,897.15,10,0.75,CLOSED,ORB Break,10:16,0.0,False,0.75,,,,,883.9,2764.41,1,0
ADANIGREEN,BUY,1174.1,1174.1,1191.7,10,0.75,CLOSED,ORB Break,10:17,0.0,False,0.75,,,,,1174.1,2764.41,1,0
ICICIPRULI__PYR1,SELL,539.8755,540.05,533.4,10,0.75,CLOSED,ORB Break SELL [PYR1],10:19,-1.74,False,0.75,ICICIPRULI,1,,,540.05,2764.41,1,0
BHARATFORG,BUY,1918.0,1917.7,1946.8,10,0.75,CLOSED,ORB Break,10:20,-3.0,False,0.75,,,,,1917.7,2764.41,1,0
JSWENERGY,BUY,550.35,550.35,558.6,10,0.75,CLOSED,ORB Break,10:21,82.5,False,0.75,,,,,550.35,2764.41,1,0
ADANIGREEN__PYR1,BUY,1177.6223,1177.6,1191.7,10,0.75,CLOSED,ORB Break [PYR1],10:21,-0.22,False,0.75,ADANIGREEN,1,,,1177.6,2764.41,1,0
VOLTAS,BUY,1478.0,1489.7,1500.2,10,1.5,CLOSED,ORB Break,10:21,222.0,False,0.75,,,,,,2764.41,1,0
SIEMENS,BUY,3785.0,3815.0,3841.8,10,1.5,CLOSED,ORB Break,10:22,568.0,False,0.75,,,,,,2764.41,1,0
SIEMENS__PYR1,BUY,3796.355,3796.4,3841.8,10,0.75,CLOSED,ORB Break [PYR1],10:22,454.45,False,0.75,SIEMENS,1,,,3796.4,2764.41,1,0
CUMMINSIND,BUY,5138.7,5176.9,5215.8,10,1.5,CLOSED,ORB Break,10:22,771.0,False,0.75,,,,,5138.7,2764.41,1,0
CGPOWER,BUY,811.1,817.15,823.25,10,1.5,CLOSED,ORB Break,10:22,121.5,False,0.75,,,,,,2764.41,1,0
SIEMENS__PYR2,BUY,3807.71,3808.2,3841.8,10,0.75,CLOSED,ORB Break [PYR2],10:23,340.9,False,0.75,SIEMENS,2,,,,2764.41,1,0
CGPOWER__PYR1,BUY,813.5333,813.7,823.25,10,0.75,CLOSED,ORB Break [PYR1],10:23,97.17,False,0.75,CGPOWER,1,,,,2764.41,1,0
CUMMINSIND__PYR1,BUY,5154.1161,5154.1,5215.8,10,0.75,CLOSED,ORB Break [PYR1],10:23,-0.16,False,0.75,CUMMINSIND,1,,,5154.1,2764.41,1,0
JSWENERGY__PYR1,BUY,552.001,552.0,558.6,10,0.75,CLOSED,ORB Break [PYR1],10:23,65.99,False,0.75,JSWENERGY,1,,,552.0,2764.41,1,0
CGPOWER__PYR2,BUY,815.9666,816.05,823.25,10,0.75,CLOSED,ORB Break [PYR2],10:24,72.83,False,0.75,CGPOWER,2,,,,2764.41,1,0
JSWENERGY__PYR2,BUY,553.6521,553.3,558.6,10,0.75,CLOSED,ORB Break [PYR2],10:24,-3.52,False,0.75,JSWENERGY,2,,,553.3,2764.41,1,0
VOLTAS__PYR1,BUY,1482.434,1482.4,1500.2,10,0.75,CLOSED,ORB Break [PYR1],10:24,177.66,False,0.75,VOLTAS,1,,,1482.4,2764.41,1,0
LODHA__PYR1,BUY,886.5517,886.55,897.15,10,0.75,CLOSED,ORB Break [PYR1],10:24,-0.02,False,0.75,LODHA,1,,,886.55,2764.41,1,0
CUMMINSIND__PYR2,BUY,5169.5322,5169.5,5215.8,10,0.75,CLOSED,ORB Break [PYR2],10:24,-0.32,False,0.75,CUMMINSIND,2,,,5169.5,2764.41,1,0
VOLTAS__PYR2,BUY,1486.868,1486.5,1500.2,10,0.75,CLOSED,ORB Break [PYR2],10:25,-3.68,False,0.75,VOLTAS,2,,,1486.5,2764.41,1,0
KEI,BUY,4885.5,4885.5,4958.8,10,0.75,CLOSED,ORB Break,10:26,0.0,False,0.75,,,,,4885.5,2764.41,1,0
MAZDOCK,BUY,2698.8,2698.8,2739.3,10,0.75,CLOSED,ORB Break,10:26,0.0,False,0.75,,,,,2698.8,2764.41,1,0
HINDUNILVR,BUY,2356.0,2356.0,2391.3,10,0.75,CLOSED,ORB Break,10:27,0.0,False,0.75,,,,,2356.0,2764.41,1,0
MAZDOCK__PYR1,BUY,2706.8964,2706.9,2739.3,10,0.75,CLOSED,ORB Break [PYR1],10:28,0.04,False,0.75,MAZDOCK,1,,,2706.9,2764.41,1,0
FORTIS__PYR1,BUY,931.787,924.8,942.95,10,0.0,CLOSED,ORB Break [PYR1],10:30,-27.87,False,0.75,FORTIS,1,,,,2764.41,1,0
LODHA__PYR2,BUY,889.2034,882.55,897.15,10,0.0,CLOSED,ORB Break [PYR2],10:37,-53.03,False,0.75,LODHA,2,,,,2764.41,1,0
HDFCBANK__PYR2,SELL,801.207,807.2,,10,0.0,CLOSED,Open=High Breakdown SELL [PYR2],14:12,11.57,True,1.5,HDFCBANK,2,,,,2764.41,1,0
