[2026-03-25 08:46:28] ENGINE STARTED | MODE: PAPER
[2026-03-25 09:18:00] PAPER SELL TECHM Entry:1400.2 SL:1415.9 TSL-Only

[2026-03-25 09:18:00] PAPER SELL MPHASIS Entry:2128.1 SL:2147.5 TSL-Only

[2026-03-25 09:18:59] PYRAMID Leg1 MPHASIS SELL Entry:2117.46 SL:2133.30 TSL-Only
[2026-03-25 09:20:00] F5 FROZEN MCX O:2472.00 H:2487.80 L:2450.00 C:2486.80 Range:1.53%
[2026-03-25 09:20:00] F5 FROZEN INDIANB O:884.25 H:895.60 L:882.10 C:894.85 Range:1.53%
[2026-03-25 09:20:00] F5 FROZEN BAJFINANCE O:861.25 H:871.50 L:853.30 C:870.45 Range:2.11%
[2026-03-25 09:20:00] F5 FROZEN HINDALCO O:867.65 H:873.00 L:862.30 C:868.10 Range:1.23%
[2026-03-25 09:20:00] F5 FROZEN OIL O:475.20 H:477.00 L:471.35 C:472.50 Range:1.19%
[2026-03-25 09:20:00] F5 FROZEN DIVISLAB O:6030.00 H:6096.00 L:6025.00 C:6088.00 Range:1.18%
[2026-03-25 09:20:00] F5 FROZEN ASHOKLEY O:170.78 H:172.38 L:169.79 C:171.56 Range:1.52%
[2026-03-25 09:20:00] F5 FROZEN HDFCBANK O:769.00 H:779.40 L:768.40 C:775.50 Range:1.43%
[2026-03-25 09:20:00] F5 FROZEN POLYCAB O:7139.00 H:7174.00 L:7104.00 C:7150.00 Range:0.98%
[2026-03-25 09:20:00] F5 FROZEN CHOLAFIN O:1434.80 H:1461.90 L:1428.70 C:1458.20 Range:2.31%
[2026-03-25 09:20:00] F5 FROZEN MARICO O:746.50 H:753.40 L:743.10 C:753.40 Range:1.38%
[2026-03-25 09:20:00] F5 FROZEN BHARTIARTL O:1816.20 H:1824.20 L:1816.20 C:1817.80 Range:0.44%
[2026-03-25 09:20:00] F5 FROZEN EICHERMOT O:6966.00 H:6978.50 L:6904.00 C:6961.50 Range:1.07%
[2026-03-25 09:20:00] F5 FROZEN KPITTECH O:671.55 H:672.50 L:665.25 C:665.95 Range:1.08%
[2026-03-25 09:20:00] F5 FROZEN COALINDIA O:444.45 H:445.55 L:439.10 C:440.90 Range:1.45%
[2026-03-25 09:20:00] F5 FROZEN BPCL O:289.20 H:289.75 L:285.50 C:288.05 Range:1.47%
[2026-03-25 09:20:00] F5 FROZEN AXISBANK O:1201.90 H:1213.50 L:1198.00 C:1213.50 Range:1.29%
[2026-03-25 09:20:00] F5 FROZEN ADANIPORTS O:1360.90 H:1372.60 L:1354.80 C:1372.60 Range:1.31%
[2026-03-25 09:20:00] F5 FROZEN M&M O:3107.10 H:3129.70 L:3082.90 C:3103.50 Range:1.51%
[2026-03-25 09:20:00] F5 FROZEN SBIN O:1045.00 H:1051.80 L:1045.00 C:1050.00 Range:0.65%
[2026-03-25 09:20:00] F5 FROZEN PNBHOUSING O:788.15 H:796.90 L:786.15 C:796.30 Range:1.36%
[2026-03-25 09:20:00] F5 FROZEN LAURUSLABS O:1008.80 H:1011.00 L:995.40 C:1010.10 Range:1.55%
[2026-03-25 09:20:00] F5 FROZEN POLICYBZR O:1486.80 H:1512.10 L:1486.80 C:1502.10 Range:1.70%
[2026-03-25 09:20:00] F5 FROZEN TITAN O:3961.00 H:3982.50 L:3940.50 C:3980.70 Range:1.06%
[2026-03-25 09:20:00] F5 FROZEN MOTHERSON O:112.94 H:113.37 L:112.15 C:113.11 Range:1.08%
[2026-03-25 09:20:00] F5 FROZEN SYNGENE O:405.00 H:418.00 L:405.00 C:417.55 Range:3.21%
[2026-03-25 09:20:00] F5 FROZEN TORNTPOWER O:1377.60 H:1388.00 L:1377.60 C:1387.60 Range:0.75%
[2026-03-25 09:20:00] F5 FROZEN PHOENIXLTD O:1530.00 H:1562.00 L:1516.50 C:1557.00 Range:2.97%
[2026-03-25 09:20:00] F5 FROZEN HINDPETRO O:343.50 H:345.85 L:338.70 C:341.75 Range:2.08%
[2026-03-25 09:20:00] F5 FROZEN BLUESTARCO O:1673.00 H:1735.00 L:1668.00 C:1733.20 Range:4.00%
[2026-03-25 09:20:00] F5 FROZEN SWIGGY O:282.30 H:287.95 L:280.95 C:285.50 Range:2.48%
[2026-03-25 09:20:00] F5 FROZEN TATASTEEL O:193.39 H:194.48 L:192.32 C:194.23 Range:1.12%
[2026-03-25 09:20:00] F5 FROZEN KOTAKBANK O:370.05 H:373.10 L:370.05 C:373.05 Range:0.82%
[2026-03-25 09:20:00] F5 FROZEN PREMIERENE O:892.55 H:899.75 L:891.45 C:894.80 Range:0.93%
[2026-03-25 09:20:00] F5 FROZEN RELIANCE O:1419.40 H:1421.90 L:1416.00 C:1416.60 Range:0.42%
[2026-03-25 09:20:00] F5 FROZEN BANKINDIA O:148.01 H:149.90 L:147.81 C:149.81 Range:1.41%
[2026-03-25 09:20:00] F5 FROZEN CAMS O:645.65 H:648.90 L:640.20 C:647.80 Range:1.35%
[2026-03-25 09:20:00] F5 FROZEN ASIANPAINT O:2229.00 H:2239.40 L:2222.00 C:2237.60 Range:0.78%
[2026-03-25 09:20:00] F5 FROZEN ICICIBANK O:1259.10 H:1264.70 L:1256.80 C:1262.50 Range:0.63%
[2026-03-25 09:20:00] F5 FROZEN BAJAJFINSV O:1720.00 H:1732.10 L:1717.60 C:1731.60 Range:0.84%
[2026-03-25 09:20:00] F5 FROZEN DELHIVERY O:420.05 H:423.95 L:419.20 C:423.95 Range:1.13%
[2026-03-25 09:20:00] F5 FROZEN SHREECEM O:23520.00 H:23875.00 L:23445.00 C:23870.00 Range:1.83%
