Time,Symbol,Side,Entry,Exit,Qty,PnL,Reason
2026-04-23 12:21:47.683170,INDUSTOWER__PYR1,SELL,401.791,404.8,10,-30.09,SL HIT
2026-04-23 12:23:32.737533,ASTRAL__PYR2,SELL,1563.562,1575.3,10,-117.38,SL HIT
2026-04-23 12:28:36.449785,HEROMOTOCO,SELL,5102.0,5025.5,10,765.0,TARGET HIT
2026-04-23 12:28:36.449785,HEROMOTOCO__PYR1,SELL,5086.694,5025.5,10,611.94,TARGET HIT
2026-04-23 12:28:36.449785,HEROMOTOCO__PYR2,SELL,5071.388,5025.5,10,458.88,TARGET HIT
2026-04-23 12:37:19.706879,INDUSTOWER,SELL,403.0,406.0,10,-30.0,SL HIT
2026-04-23 12:38:14.748322,SUPREMEIND__PYR1,SELL,3658.99,3686.4,10,-274.1,SL HIT
2026-04-23 12:39:36.242758,BAJFINANCE__PYR1,SELL,911.6688,918.5,10,-68.31,SL HIT
2026-04-23 12:42:05.931558,SUPREMEIND,SELL,3670.0,3697.5,10,-275.0,SL HIT
2026-04-23 12:52:42.243899,ASTRAL__PYR1,SELL,1568.281,1580.0,10,-117.19,SL HIT
