symbol,side,entry,sl,target,qty,trail_level,status,strategy,entry_time,net_pnl,tsl_only,tsl_step,pyramid_base,pyramid_leg,live_sl_oid,live_tgt_oid,sl_floor,daily_pnl_snapshot,profit_lock_armed,gross_win_target_hit
HEROMOTOCO,SELL,5102.0,5101.0,5025.5,10,0.75,CLOSED,ORB Break SELL,10:15,765.0,False,0.75,,,,,,1115.6619999999975,0,0
ASTRAL,SELL,1573.0,1584.8,1549.4,10,0.0,CLOSED,ORB Break SELL,10:15,-12.0,False,0.75,,,,,,1115.6619999999975,0,0
HEROMOTOCO__PYR1,SELL,5086.694,5086.5,5025.5,10,0.75,CLOSED,ORB Break SELL [PYR1],10:18,611.94,False,0.75,HEROMOTOCO,1,,,,1115.6619999999975,0,0
BAJFINANCE,SELL,916.25,932.65,,10,0.0,CLOSED,Open=High Breakdown SELL,10:32,-21.0,True,1.5,,,,,,1115.6619999999975,0,0
INDUSTOWER,SELL,403.0,406.0,396.95,10,0.0,CLOSED,ORB Break SELL,10:37,-30.0,False,0.75,,,,,,1115.6619999999975,0,0
INDUSTOWER__PYR1,SELL,401.791,404.8,396.95,10,0.0,CLOSED,ORB Break SELL [PYR1],10:39,-30.09,False,0.75,INDUSTOWER,1,,,,1115.6619999999975,0,0
BAJFINANCE__PYR1,SELL,911.6688,918.5,,10,0.0,CLOSED,Open=High Breakdown SELL [PYR1],10:47,-68.31,True,1.5,BAJFINANCE,1,,,,1115.6619999999975,0,0
HEROMOTOCO__PYR2,SELL,5071.388,5069.0,5025.5,10,0.75,CLOSED,ORB Break SELL [PYR2],10:55,458.88,False,0.75,HEROMOTOCO,2,,,,1115.6619999999975,0,0
ASTRAL__PYR1,SELL,1568.281,1580.0,1549.4,10,0.0,CLOSED,ORB Break SELL [PYR1],11:15,-117.19,False,0.75,ASTRAL,1,,,,1115.6619999999975,0,0
HDFCBANK,SELL,790.0,789.95,778.15,10,0.75,CLOSED,ORB Break SELL,11:27,60.5,False,0.75,,,,,,1115.6619999999975,0,0
SUPREMEIND,SELL,3670.0,3697.5,3614.9,10,0.0,CLOSED,ORB Break SELL,11:34,-275.0,False,0.75,,,,,,1115.6619999999975,0,0
SUPREMEIND__PYR1,SELL,3658.99,3686.4,3614.9,10,0.0,CLOSED,ORB Break SELL [PYR1],11:35,-274.1,False,0.75,SUPREMEIND,1,,,,1115.6619999999975,0,0
HDFCBANK__PYR1,SELL,787.63,793.55,778.15,10,0.0,CLOSED,ORB Break SELL [PYR1],11:40,36.8,False,0.75,HDFCBANK,1,,,,1115.6619999999975,0,0
ASTRAL__PYR2,SELL,1563.562,1575.3,1549.4,10,0.0,CLOSED,ORB Break SELL [PYR2],11:42,-117.38,False,0.75,ASTRAL,2,,,,1115.6619999999975,0,0
HDFCBANK__PYR2,SELL,785.26,791.15,778.15,10,0.0,CLOSED,ORB Break SELL [PYR2],12:27,13.1,False,0.75,HDFCBANK,2,,,,1115.6619999999975,0,0
INFY,SELL,1249.6,1259.0,1230.9,10,0.0,CLOSED,ORB Break SELL,13:42,76.0,False,0.75,,,,,,1115.6619999999975,0,0
INFY__PYR1,SELL,1245.8512,1255.2,1230.9,10,0.0,CLOSED,ORB Break SELL [PYR1],14:08,38.51,False,0.75,INFY,1,,,,1115.6619999999975,0,0
